K,between_profile_variance,within_profile_variance,total_variance,between_over_total
2,0.028897758500863832,0.6687654179692776,0.6970848336948783,0.041455153094770526
3,0.23427423805395625,0.46316284416329406,0.6970848336948783,0.3360770837778701
4,0.042525755963535354,0.6558974139940429,0.6970848336948783,0.06100513726303411
5,0.10321841550415917,0.5959181421922031,0.6970848336948783,0.14807152661327158
6,0.18518157967059526,0.5134111104576278,0.6970848336948783,0.2656514253638909
7,0.23323061463531147,0.46634408667063426,0.6970848336948783,0.33457995836615645
