profile,N,percentage,INT_mean,BE_mean,INT_minus_BE,mean_z_INT,mean_z_BE,mean_GAP
0,281,24.09948542024014,4.468564650059311,4.01067615658363,0.4578884934756813,0.7549782326537041,0.2945244255613023,0.46045380709240175
1,125,10.720411663807889,2.8960000000000004,2.978,-0.08199999999999985,-1.3009263695306246,-1.075003172054237,-0.22592319747638773
2,108,9.262435677530018,4.5925925925925934,5.0,-0.40740740740740655,0.917127126083305,1.606558501200453,-0.6894313751171478
3,264,22.641509433962266,3.523989898989899,3.596590909090909,-0.07260101010101039,-0.4799189003560448,-0.25463241377433704,-0.22528648658170775
4,245,21.012006861063465,4.0,3.8316326530612246,0.16836734693877542,0.1423966001964976,0.057078235209708186,0.08531836498678942
5,70,6.003430531732419,2.1142857142857143,2.732142857142857,-0.6178571428571429,-2.3229066089647357,-1.4010571242706646,-0.9218494846940715
6,73,6.260720411663807,5.0,4.092465753424658,0.9075342465753424,1.4497543626304852,0.40299319319723337,1.046761169433252
