profile,size,proportion_WEIGHT_NOT_SHARE,proportion,assigned_share
0,281,0.2410148431951703,0.2410148431951703,0.24099485420240138
1,125,0.14255679370500784,0.14255679370500784,0.1072041166380789
2,108,0.06903912980345044,0.06903912980345044,0.09262435677530018
3,264,0.1821313411426138,0.1821313411426138,0.22641509433962265
4,245,0.21217048150147194,0.21217048150147194,0.21012006861063465
5,70,0.06905615045179316,0.06905615045179316,0.060034305317324184
6,73,0.08403126020049254,0.08403126020049254,0.06260720411663807
