half_1_profile,half_2_matched_profile,half_1_size,half_2_size,size_difference,mean_zINT_difference,mean_zBE_difference,euclidean_distance,matching_cost_total
0,3,115,20,95,0.7720805712839812,-0.8350306723143379,1.1372706943643338,4.144565195384184
1,0,44,154,-110,0.026010701419598492,0.1100443784428789,0.11307661922439603,4.144565195384184
2,1,44,22,22,0.6456069614479505,0.8220904405950027,1.0452947149908207,4.144565195384184
3,6,57,115,-58,0.0680145883001495,0.10450383939278896,0.12468775669436298,4.144565195384184
4,4,139,83,56,0.4173666688112614,0.37387159695414474,0.5603346386255731,4.144565195384184
5,2,90,69,21,-0.20489231210349335,-0.5717743837183382,0.6073769879042182,4.144565195384184
6,5,94,120,-26,0.44417228664321207,0.3353053853860291,0.5565237835804803,4.144565195384184
