profile,N,INT_variance,BE_variance,INT_min,INT_max,BE_min,BE_max,prop_INT_at_max
0,281,0.026885273682426804,0.24765346975088964,4.333333333333333,4.666666666666667,2.5,4.75,0.40569395017793597
1,125,0.024043010752688197,0.22380645161290325,2.6666666666666665,3.0,2.0,4.0,
2,108,0.23745240567670475,0.0,3.0,5.0,5.0,5.0,
3,264,0.02730569318021792,0.2815092464569651,3.333333333333333,3.6666666666666665,2.25,4.75,
4,245,0.0,0.19668994647039145,4.0,4.0,2.25,4.75,
5,70,0.2701633310328962,1.0947851966873707,1.0,3.0,1.0,4.75,
6,73,0.0,0.2526160578386606,5.0,5.0,2.75,4.75,
