bootstrap,converged,n_iter,log_likelihood,BIC,matching_cost,matched_size_p0,mean_zINT_p0,mean_zBE_p0,matched_size_p1,mean_zINT_p1,mean_zBE_p1,matched_size_p2,mean_zINT_p2,mean_zBE_p2,matched_size_p3,mean_zINT_p3,mean_zBE_p3,matched_size_p4,mean_zINT_p4,mean_zBE_p4,matched_size_p5,mean_zINT_p5,mean_zBE_p5,matched_size_p6,mean_zINT_p6,mean_zBE_p6
51,True,48,-279.48562241196885,848.4859538672656,2.7382956503109965,209,0.922814172405438,-0.06690941594726871,186,-0.4163192272380338,-0.4729882122708495,113,0.9163698574566941,1.6009697667757594,240,-0.642414139593039,-0.18186013117179264,244,0.12145378942090886,0.051989567156439626,82,-1.8129566749166448,-1.3625636607287555,92,0.8070125762318936,1.0970216016494927
52,True,37,-975.5462414422225,2240.607191927773,2.721803173671386,339,0.7508024102771997,0.3129611251304701,371,-0.8512873654959272,-0.7208221840483255,29,0.33507230894361306,1.276615817890921,29,-1.0682361756889396,0.36362733489187027,247,0.10624520261190998,0.12297462098498005,27,-2.1397978782827707,-1.81649625835785,124,1.452787661801994,0.9072142627848968
53,True,42,-572.102288208509,1433.7192854603459,2.6204035184598853,265,0.7595310190801267,0.22723677392730135,244,-0.6379082409244988,-0.486572450318156,60,0.6830377746803806,1.6879510483475366,53,-1.0777371295675477,0.6667308228591265,261,0.14200157559600338,0.0854817463625197,152,-1.529512664737768,-1.3463059204786083,131,1.4881303328719395,0.681855905330404
54,True,28,-883.5280563982157,2056.5708218397594,2.1074589264459327,282,0.7807018063997817,0.38705759536458584,50,-1.317859712486853,-0.6776523819046045,52,-0.015397383383317526,1.3251205410462483,266,-0.44813212137982966,-0.2257864774470689,246,0.14686741340151144,0.1321433237271255,141,-1.5469627419090712,-1.418185898430647,129,1.4344418797636358,0.8966459712817785
55,True,47,-84.5784528502781,458.67161474388416,1.3675458096134188,240,0.7746205621378235,0.2298158405731565,278,-1.173806818496818,-0.6538514877387445,69,0.7793951301864114,1.4876000623414647,158,-0.28516801530038505,-0.12797771777052686,269,0.15640689285399598,0.08646491423140883,34,-1.824987246286688,-1.4916846682274647,118,1.4811316173171372,0.977410623556905
56,True,42,-368.8889980359732,1027.2927051152744,3.9395881753705684,272,0.1249415101615527,0.11381551809436684,129,-0.7274884163496999,-0.3715745207244976,56,1.4256718748791428,1.6397672687724096,100,-0.3437927568550417,-0.2873689518906541,159,-0.4314088605420538,-0.10678721998817756,102,-1.5745669608031712,-1.5683933143004263,348,0.9298020558752527,0.5300453135163484
57,True,40,883.1965315371676,-1476.8783540310073,3.198127293541453,199,0.5411202156297976,0.3665328628471131,114,-1.1683607190946859,-0.9672058528421913,143,0.9756561463628185,0.4884386265447778,273,-0.7563965904938285,-0.06902618448370193,250,0.1065842848967783,0.08592239509712066,57,-1.8728144345567033,-2.3493271914217813,130,1.4101920770958392,0.9333780656695234
58,True,38,-893.0130358221929,2075.540780687714,3.1289355730321167,309,0.7479886464189357,0.399991589377668,80,-0.9949375855910282,-1.1013471210135772,71,-0.7310077096461524,0.8416436769409833,232,-0.5468136478291696,-0.29765902168924724,249,0.13199543508843872,0.13922621847635996,92,-1.7046941462054068,-1.7579918736622677,133,1.4474371215253559,0.927231138538767
59,True,43,-197.28780597385784,684.0903209910437,3.4009032856799273,182,0.562695254432494,0.40749601268577423,22,-1.547791595278027,0.3754707695755181,74,1.3172635230885237,1.555390864642296,346,-0.6419272800341163,-0.3458793950787875,256,0.12265322447388396,0.051177374482353766,95,-1.5996782308007034,-1.5575465342504373,191,1.1918271090642125,0.4615861092880773
60,True,38,-703.299015012387,1696.112739068102,4.817880940661828,31,-1.8013853834580857,0.49671711007865477,190,-0.9469815270343281,-0.4823369996177636,97,1.0690493117627502,1.5745977702679608,162,-0.3276678974726089,-0.19245249936587777,259,0.12394057587616365,0.09972384528150294,78,-1.8916887383679741,-1.7897875593143293,349,0.933511365519511,0.3192336473915704
61,True,45,251.06779585995326,-212.62088267657856,3.0222084536321567,240,0.21726865283650396,0.11572673025048383,102,-1.4837962510040532,-0.7436025885663594,93,1.0219801127727532,1.6542999301324597,118,-0.6608431295113775,-0.23228159849298566,167,-0.2217872383374374,-0.10708060420387679,114,-1.7197694788677746,-1.5998824305285815,332,0.947283663936772,0.34727777639038077
62,True,53,-77.18693116592416,443.8885713751763,4.784403377253353,284,0.1339694461211933,0.11738890164806869,194,-0.9206775163549408,-0.575473054822544,90,1.2168205482630607,1.5816018070939388,16,-1.8149254626735105,0.557037178326053,162,-0.3060541431106706,-0.14307675360527308,87,-1.9174394025166266,-1.6565435242540314,333,0.9082728935459022,0.33685384460150836
63,True,55,-1087.9180735994823,2465.3508562422926,2.909287086527144,315,0.750342558350734,0.3212785307749534,85,-1.1261727175393335,-1.0195638070605872,81,-0.7815573158089183,0.867265026111228,240,-0.5443335610906306,-0.2055296319754739,220,0.14230322079773436,0.1368103495442461,86,-1.583977345026588,-1.7620380046836528,139,1.4219347538323772,0.8499337490070507
64,True,42,-177.88903282601245,645.2927746953528,4.333964323037837,264,0.15533880167259773,0.09489462557414884,252,-1.0726812406905,-0.8326748237025414,105,0.867874452363084,1.6104598067054567,18,-1.6541838887691707,-0.2103023847262492,143,-0.27694053663348556,-0.15649346439062423,37,-2.624602716565292,-2.164334469650166,347,0.9226621459465622,0.3600977765086782
65,True,49,-39.73220507374763,368.9791191908232,3.916990466436854,267,0.16539321078305533,0.07983683766670505,64,-1.1141474884756477,-0.24384909409490635,119,0.9841633163527939,1.621415718694425,192,-0.4022837416176704,-0.4360785200942483,186,-0.4176047589535846,-0.0975902292834153,83,-1.587849780041586,-1.9017396522595982,255,0.9194293859952233,0.283740502166772
66,True,50,-1154.2378355801973,2597.9903802037225,1.3227046664543196,147,0.8302396181611766,-0.23806721813110274,226,-1.1639733396722538,-0.9963279563294405,94,0.8024602707643789,1.643526338287708,189,-0.4104653327104439,-0.16503582047458482,249,0.15995600729611156,0.10755230360113874,53,-2.1906994113555216,-1.009532108141237,208,1.0574670042412748,0.8034283821752308
67,True,37,-845.5226284950261,1980.55996603338,2.084854021441247,324,0.7436964755657794,0.37995761627187696,35,-1.5028467019901623,-1.1682401978134074,24,0.1060906042513105,1.4022822500716443,263,-0.5256556206077804,-0.27096059121724053,264,0.15144270085081166,0.1435325895928043,139,-1.504355513444747,-1.2525515804455747,117,1.456237202269876,0.8432984847070579
68,True,63,-590.5107225806595,1470.536154204647,7.0200910803760275,237,0.1447735129001841,0.13385973791622424,92,-1.6177858868935509,-1.8811960224126656,110,1.0071544788179552,1.5858560284642758,284,-0.6266925552731256,-0.12079423961571269,108,-0.6752934738180788,-1.0632960190849299,6,-3.8219451408192304,-3.4917086450304695,329,0.9058184318443445,0.44801668570418396
69,True,37,-412.1621819121532,1113.8390728676343,1.288227858005026,262,0.7345776845812904,0.22221813473471,68,-1.1279947137189619,-0.5424538822642895,118,0.7825095726638445,1.5793697528695858,221,-0.39872258503882096,-0.15539770581087295,263,0.15066507785187422,0.13515937763535865,159,-1.5352293415741114,-1.38271874221471,75,1.4206083123720055,0.6721873124852826
70,True,61,-260.52008031754315,810.5548696784142,3.676186113246174,242,0.13376572761269628,0.018610682202250126,236,-1.120383121562898,-0.7891826479671761,105,0.927692834020078,1.5902362183786016,14,-0.8109181514027547,-0.18448098000710447,161,-0.3043546049614728,-0.14050366683952928,42,-2.603393619029715,-2.196445839185755,366,0.8873854624045832,0.38454926006699014
71,True,50,-383.5340590169883,1056.5828270773045,4.148326739648375,279,0.18469615178787385,0.19492671962082744,86,-1.1909844801139025,-0.18367686320287982,94,0.7425674608344053,1.3478908647978622,192,-0.48565473529238967,-0.1833309319222755,167,-0.4433618104026446,-0.4959818932854376,63,-1.508441261322568,-2.0341846866255797,285,0.9689600305488787,0.31636609801526877
72,True,30,-1046.573794970667,2382.662298984662,2.9012854971544297,331,0.7636658024208716,0.4024544011078517,34,-1.299263180750367,0.19316236051094332,16,0.21032943353365108,1.4507862342108866,251,-0.43198106089424937,-0.13330855728821642,234,0.1645724561075182,0.1680120535159113,182,-1.4148791735859865,-1.3737954808830295,118,1.452434763633471,0.877674236657798
73,True,42,-476.77631685960864,1243.0673427625452,3.424145396502179,205,1.0159913885058858,0.2646287502379758,189,-0.4118489577029793,-0.4911958794574201,100,0.9599372109587484,1.6343178109337886,250,-0.5404257787896563,-0.13763436029051432,231,0.1904502615098653,0.09373443088528345,96,-1.396867049726907,-1.5515910290239303,95,0.39304428426791294,1.11847858253166
74,True,44,-1413.9902737974771,3117.495256638282,5.101655969420711,326,0.287084074208933,0.2742308541629624,153,0.046339910319538935,-1.0326256738228057,89,-0.31149406442904914,0.9927176497372103,186,-0.29913862167030825,-0.3969445511873312,146,-0.22751087217149216,-0.3675556420602177,84,-1.7128897004739099,-1.6174341094727274,182,0.983844150146027,1.3647901716690023
