metric,value
K,7
N,1166
n_bootstrap,200
n_successful_bootstraps,200
bootstrap_seed_base,42
n_init_primary,1000
n_init_bootstrap,100
covariance_type,full
original_LL,-663.2542456066219
original_BIC,1616.0232002565717
bootstrap_mean_LL,-276.8484010124077
bootstrap_SD_LL,725.937404182071
bootstrap_mean_matching_cost,3.12780273508872
split_sample_seed,42
split_half_1_n,583
split_half_2_n,583
split_matching_cost,4.144565195384184
