profile,n_successful_bootstraps,pct_bootstraps_profile_exists,mean_matched_N,SD_matched_N,min_matched_N,max_matched_N,mean_zINT,SD_zINT,mean_zBE,SD_zBE,mean_zINT_minus_zBE,SD_zINT_minus_zBE
0,200,100.0,227.425,80.96195753462978,10,546,0.4888616613834477,0.4746790374776685,0.24296121855228414,0.27009579170126397,0.24590044283116363,0.5820332354513517
1,200,100.0,152.75,87.35060469569468,2,374,-1.0753969307130362,0.3582572778481722,-0.5999326433558528,0.4790026481853375,-0.4754642873571834,0.6212935964300835
2,200,100.0,94.3,40.00464797116058,1,284,0.6946673273511679,0.6894495137316781,1.3368585385522902,0.42230547758880665,-0.6421912112011222,0.6010604788782907
3,200,100.0,183.265,85.8790476725594,10,388,-0.5641579761693665,0.36312699687105954,-0.1431325572628799,0.25960451077099445,-0.4210254189064866,0.5392550266497822
4,200,100.0,233.705,45.78492406193095,19,336,0.03667722128277699,0.22416876570316277,0.05587236363451049,0.16097590489283378,-0.019195142351733502,0.17647708587977806
5,200,100.0,89.93,45.52447130321434,6,256,-1.8517284230080122,0.43063873622162185,-1.5619090702212832,0.4967827873895433,-0.28981935278672893,0.4736227234160787
6,200,100.0,184.625,96.8931150999329,35,382,1.156349191539673,0.3286974947416292,0.6785572456464779,0.3126175143220491,0.4777919458931953,0.3723737587128619
