profile,n_bootstraps,n_INT_gt_BE,n_BE_gt_INT,n_exactly_equal,pct_INT_gt_BE,pct_BE_gt_INT
0,200,176,24,0,88.0,12.0
1,200,29,171,0,14.499999999999998,85.5
2,200,23,177,0,11.5,88.5
3,200,13,187,0,6.5,93.5
4,200,113,87,0,56.49999999999999,43.5
5,200,22,178,0,11.0,89.0
6,200,176,24,0,88.0,12.0
