profile,size,assigned_share,weight,proportion_WEIGHT_NOT_SHARE,mean_z_INT,mean_z_BE
0,131,0.11234991423670669,0.11234991423648882,0.11234991423648882,1.0139684418191552,0.4980233677383616
1,94,0.08061749571183534,0.08061162674153148,0.08061162674153148,-1.1649611622374896,-0.7460459385147437
2,116,0.09948542024013722,0.09948483228989057,0.09948483228989057,-0.7291752414261617,-0.30841895952795556
3,259,0.2221269296740995,0.22212692852119847,0.22212692852119847,0.1423966001964976,0.14083392389247254
4,185,0.15866209262435677,0.15866209260404426,0.15866209260404426,0.5781825210078257,0.39864783752658667
5,10,0.008576329331046312,0.008795658817641923,0.008795658817641923,-2.4289022652898957,0.25548574853447076
6,49,0.04202401372212693,0.041837621191890655,0.041837621191890655,-2.5253519503871944,-2.1891761643738152
7,43,0.03687821612349914,0.036851771862209684,0.036851771862209684,-1.6007470830488197,-1.3159685295426373
8,155,0.13293310463121785,0.1329330700301312,0.1329330700301312,-0.2933893206148319,-0.13032621184437285
9,124,0.10634648370497427,0.10634648370497285,0.10634648370497285,1.4497543626304865,0.8980079569727446
