K,profile,N,mean_INT,mean_BE,INT_minus_BE,INT_gt_BE,BE_gt_INT
2,0,871,4.2353616532721015,4.053386911595867,0.1819747416762345,True,False
2,1,295,2.87457627118644,3.006779661016949,-0.13220338983050883,False,True
3,0,758,4.334212840809147,4.054089709762533,0.2801231310466141,True,False
3,1,320,3.0489583333333337,3.028125,0.02083333333333348,True,False
3,2,88,3.1363636363636362,4.267045454545454,-1.130681818181818,False,True
4,0,124,5.0,4.465725806451613,0.534274193548387,True,False
4,1,487,3.7214236824093083,3.6175564681724848,0.10386721423682355,True,False
4,2,169,2.6745562130177514,2.6050295857988166,0.06952662721893477,True,False
4,3,386,4.281519861830743,4.305051813471502,-0.023531951640759274,False,True
5,0,598,4.142140468227424,3.9862040133779266,0.1559364548494977,True,False
5,1,211,3.4091627172195893,3.4549763033175354,-0.04581358609794606,False,True
5,2,124,5.0,4.465725806451613,0.534274193548387,True,False
5,3,177,2.7269303201506587,2.6610169491525424,0.06591337099811634,True,False
5,4,56,4.25,5.0,-0.75,False,True
6,0,124,5.0,4.465725806451613,0.534274193548387,True,False
6,1,377,3.336870026525199,3.559681697612732,-0.22281167108753275,False,True
6,2,262,4.478371501272264,3.95706106870229,0.5213104325699738,True,False
6,3,90,2.333333333333333,2.3444444444444446,-0.011111111111111516,False,True
6,4,54,4.438271604938272,4.912037037037037,-0.473765432098765,False,True
6,5,259,4.0,3.8947876447876446,0.10521235521235539,True,False
7,0,281,4.468564650059311,4.01067615658363,0.4578884934756813,True,False
7,1,125,2.8960000000000004,2.978,-0.08199999999999985,False,True
7,2,108,4.5925925925925934,5.0,-0.40740740740740655,False,True
7,3,264,3.523989898989899,3.596590909090909,-0.07260101010101039,False,True
7,4,245,4.0,3.8316326530612246,0.16836734693877542,True,False
7,5,70,2.1142857142857143,2.732142857142857,-0.6178571428571429,False,True
7,6,73,5.0,4.092465753424658,0.9075342465753424,True,False
