K,n_profiles,BIC,AIC,entropy,min_profile_N,max_profile_N,n_INT_gt_BE,n_BE_gt_INT,range_INT_minus_BE
2,2,5932.853752901799,5877.179074865784,0.599786309643466,295,871,1,1,0.31417813150674334
3,3,5906.631363033211,5820.588678795733,0.6110818440435285,88,758,2,1,1.410804949228432
4,4,4657.054958638112,4540.644268199172,0.4236446643838081,124,487,3,1,0.5578061451891463
5,5,4633.418407189735,4486.639710549332,0.3416248967605995,56,598,3,2,1.284274193548387
6,6,2129.1734426912567,1952.026739849392,0.1418497523045633,54,377,3,3,1.008039625647152
7,7,1616.0232002565715,1408.5084912132438,0.0991256569666002,70,281,3,4,1.5253913894324853
