K,log_likelihood,AIC,BIC,entropy,n_params,smallest_class_pct,largest_class_pct,converged,n_iter,profile_sizes
2,-2927.589537432892,5877.179074865784,5932.853752901799,0.599786309643466,11,25.300171526586624,74.69982847341338,True,7,"[871, 295]"
3,-2893.2943393978667,5820.588678795733,5906.631363033211,0.6110818440435285,17,7.547169811320755,65.00857632933105,True,15,"[758, 320, 88]"
4,-2247.322134099586,4540.644268199172,4657.054958638112,0.4236446643838081,23,10.634648370497429,41.76672384219554,True,26,"[124, 487, 169, 386]"
5,-2214.319855274666,4486.639710549332,4633.418407189735,0.3416248967605995,29,4.802744425385934,51.28644939965695,True,36,"[598, 211, 124, 177, 56]"
6,-941.0133699246958,1952.026739849392,2129.1734426912567,0.1418497523045633,35,4.631217838765009,32.3327615780446,True,43,"[124, 377, 262, 90, 54, 259]"
7,-663.2542456066219,1408.5084912132438,1616.0232002565715,0.0991256569666002,41,6.003430531732419,24.09948542024014,True,53,"[281, 125, 108, 264, 245, 70, 73]"
