K,n_profiles,n_INT_gt_BE,n_BE_gt_INT,min_INT_minus_BE,max_INT_minus_BE,range_INT_minus_BE,variance_INT_minus_BE_means
2,2,1,1,-0.13220338983050883,0.1819747416762345,0.31417813150674334,0.049353949158534256
3,3,2,1,-1.130681818181818,0.2801231310466141,1.410804949228432,0.5639314913557658
4,4,3,1,-0.023531951640759274,0.534274193548387,0.5578061451891463,0.06153815719520426
5,5,3,2,-0.75,0.534274193548387,1.284274193548387,0.2195983741623251
6,6,3,3,-0.473765432098765,0.534274193548387,1.008039625647152,0.16165747542166692
7,7,3,4,-0.6178571428571429,0.9075342465753424,1.5253913894324853,0.26724272383370645
