threshold,value
mean_max_posterior,0.9105387377029004
median_max_posterior,0.999500540877914
pct_>=0.90,77.01543739279589
pct_<0.90,22.98456260720412
pct_>=0.80,82.16123499142367
pct_<0.80,17.83876500857633
pct_>=0.70,84.90566037735849
pct_<0.70,15.09433962264151
pct_>=0.50,100.0
pct_<0.50,0.0
