profile,N,percentage,INT_mean,BE_mean,INT_minus_BE,GAP_mean,mean_max_posterior,median_max_posterior
0,281,24.09948542024014,4.468564650059311,4.01067615658363,0.4578884934756813,0.46045380709240175,0.9998092416642265,0.9999158604011552
1,125,10.720411663807889,2.8960000000000004,2.978,-0.08199999999999985,-0.22592319747638773,0.8810004985136758,0.8884907451716046
2,108,9.262435677530018,4.5925925925925934,5.0,-0.40740740740740655,-0.6894313751171478,0.7535988071851006,0.8259512341149247
3,264,22.641509433962266,3.523989898989899,3.596590909090909,-0.07260101010101039,-0.22528648658170775,0.7967240242563083,0.9317669571278138
4,245,21.012006861063465,4.0,3.8316326530612246,0.16836734693877542,0.08531836498678942,0.9998125950042911,0.9998372206426204
5,70,6.003430531732419,2.1142857142857143,2.732142857142857,-0.6178571428571429,-0.9218494846940715,0.8706371431235015,0.9665626416149284
6,73,6.260720411663807,5.0,4.092465753424658,0.9075342465753424,1.046761169433252,0.9999206789776977,0.9999220682050702
