construct,profile_1,profile_2,cohens_d,abs_cohens_d
INT,0,1,9.750214205453723,9.750214205453723
INT,0,2,-0.42515208697201656,0.42515208697201656
INT,0,3,5.739058203638525,5.739058203638525
INT,0,4,3.9092992656470864,3.9092992656470864
INT,0,5,8.597572591917876,8.597572591917876
INT,0,6,-3.634005033702385,3.634005033702385
INT,1,2,-4.839611411998663,4.839611411998663
INT,1,3,-3.8752786293324877,3.8752786293324877
INT,1,4,-12.26556942021635,12.26556942021635
INT,1,5,2.3354615097544413,2.3354615097544413
INT,1,6,-17.05958661655457,17.05958661655457
INT,2,3,3.6006666043241338,3.6006666043241338
INT,2,4,2.2025693980787038,2.2025693980787038
INT,2,5,4.953874275781103,4.953874275781103
INT,2,6,-1.0813723499156398,1.0813723499156398
INT,3,4,-3.9995918159758763,3.9995918159758763
INT,3,5,5.0547127697702186,5.0547127697702186
INT,3,6,-10.081084519216422,10.081084519216422
INT,4,5,7.726989345411497,7.726989345411497
INT,4,6,,
INT,5,6,-7.936429070041952,7.936429070041952
BE,0,1,2.1064757455244822,2.1064757455244822
BE,0,2,-2.337183084015156,2.337183084015156
BE,0,3,0.8058338962796954,0.8058338962796954
BE,0,4,0.3783640215293241,0.3783640215293241
BE,0,5,1.9843387677003452,1.9843387677003452
BE,0,6,-0.16401653817929066,0.16401653817929066
BE,1,2,-5.833645009450038,5.833645009450038
BE,1,3,-1.206170596800982,1.206170596800982
BE,1,4,-1.8815675560788612,1.8815675560788612
BE,1,5,0.3360684679327258,0.3360684679327258
BE,1,6,-2.3019590005176767,2.3019590005176767
BE,2,3,3.137335336668721,3.137335336668721
BE,2,4,3.159708183517118,3.159708183517118
BE,2,5,3.4616489567413864,3.4616489567413864
BE,2,6,2.8470350446941635,2.8470350446941635
BE,3,4,-0.47908983711096215,0.47908983711096215
BE,3,5,1.287879921001418,1.287879921001418
BE,3,6,-0.9450819542253813,0.9450819542253813
BE,4,5,1.750139681340437,1.750139681340437
BE,4,6,-0.5699549850387191,0.5699549850387191
BE,5,6,-1.6684594282053948,1.6684594282053948
ATT,0,1,1.4451542207367365,1.4451542207367365
ATT,0,2,-0.32681251339667877,0.32681251339667877
ATT,0,3,0.5814802008593307,0.5814802008593307
ATT,0,4,0.3425457863632764,0.3425457863632764
ATT,0,5,1.881619698109058,1.881619698109058
ATT,0,6,-0.09682053021951396,0.09682053021951396
ATT,1,2,-1.6359111427334694,1.6359111427334694
ATT,1,3,-0.863514331149033,0.863514331149033
ATT,1,4,-1.2239701009240087,1.2239701009240087
ATT,1,5,0.5133583100196731,0.5133583100196731
ATT,1,6,-1.5834373216387596,1.5834373216387596
ATT,2,3,0.8757217923132092,0.8757217923132092
ATT,2,4,0.6842049813044786,0.6842049813044786
ATT,2,5,1.872622025953558,1.872622025953558
ATT,2,6,0.23378152877329747,0.23378152877329747
ATT,3,4,-0.2762175198962252,0.2762175198962252
ATT,3,5,1.3413020519069896,1.3413020519069896
ATT,3,6,-0.69101890447585,0.69101890447585
ATT,4,5,1.7063701358693586,1.7063701358693586
ATT,4,6,-0.4780596427439265,0.4780596427439265
ATT,5,6,-1.8124660990031651,1.8124660990031651
CON,0,1,1.3999928159049086,1.3999928159049086
CON,0,2,-0.4059457345635995,0.4059457345635995
CON,0,3,0.49683160501516793,0.49683160501516793
CON,0,4,0.22780787613610665,0.22780787613610665
CON,0,5,2.276041375484829,2.276041375484829
CON,0,6,-0.4281170423205862,0.4281170423205862
CON,1,2,-1.6863818162559516,1.6863818162559516
CON,1,3,-0.9454279641424401,0.9454279641424401
CON,1,4,-1.2653166333196075,1.2653166333196075
CON,1,5,0.7762571341404056,0.7762571341404056
CON,1,6,-1.687263516855914,1.687263516855914
CON,2,3,0.9056499397617348,0.9056499397617348
CON,2,4,0.6697135117624657,0.6697135117624657
CON,2,5,2.4086921987640095,2.4086921987640095
CON,2,6,-0.019261791897581152,0.019261791897581152
CON,3,4,-0.2935804767745417,0.2935804767745417
CON,3,5,1.8392824703148225,1.8392824703148225
CON,3,6,-0.9327833185999438,0.9327833185999438
CON,4,5,2.2008920437187176,2.2008920437187176
CON,4,6,-0.7029293413580762,0.7029293413580762
CON,5,6,-2.358433301567845,2.358433301567845
SNO,0,1,1.8936624008878522,1.8936624008878522
SNO,0,2,-0.6769419513794064,0.6769419513794064
SNO,0,3,0.9837233920882887,0.9837233920882887
SNO,0,4,0.45718988621733386,0.45718988621733386
SNO,0,5,2.847344376651505,2.847344376651505
SNO,0,6,-0.5487616013283594,0.5487616013283594
SNO,1,2,-2.4895674635553537,2.4895674635553537
SNO,1,3,-1.0754345076050333,1.0754345076050333
SNO,1,4,-1.4713972080255604,1.4713972080255604
SNO,1,5,0.8920723843443292,0.8920723843443292
SNO,1,6,-2.364907358215114,2.364907358215114
SNO,2,3,1.7744488578891915,1.7744488578891915
SNO,2,4,1.1595459954431762,1.1595459954431762
SNO,2,5,3.2244796323142757,3.2244796323142757
SNO,2,6,0.1524943373063541,0.1524943373063541
SNO,3,4,-0.5127675629466262,0.5127675629466262
SNO,3,5,2.1343855475813247,2.1343855475813247
SNO,3,6,-1.666012646184119,1.666012646184119
