construct,pearson_r
ATT,0.9197354038321204
CON,0.9972306166098313
SNO,0.9871468387356748
COVID,0.9843644381463266
INT,0.9930074878333568
BE,0.988851031109963
PU,0.9786472893210836
PEU,0.9999505709024156
PO,0.9999887897623452
PRI,0.9967316001787286
