K,log_likelihood,AIC,BIC,entropy,n_profiles,smallest_profile_N,smallest_profile_pct,pct_maxpost_lt_50,pct_maxpost_lt_70,pct_maxpost_ge_70,converged
2,-2927.589537432892,5877.179074865784,5932.853752901799,0.599786309643466,2,295,25.300171526586624,0.0,18.867924528301888,81.13207547169812,True
3,-2893.2943393978667,5820.588678795733,5906.631363033211,0.6110818440435285,3,88,7.547169811320755,6.174957118353345,47.94168096054888,52.05831903945112,True
4,-2247.322134099586,4540.644268199172,4657.054958638112,0.4236446643838081,4,124,10.634648370497429,3.859348198970841,46.912521440823326,53.087478559176674,True
5,-2214.319855274666,4486.639710549332,4633.418407189735,0.3416248967605995,5,56,4.802744425385934,12.69296740994854,36.106346483704975,63.89365351629503,True
6,-941.0133699246958,1952.026739849392,2129.1734426912567,0.1418497523045633,6,54,4.631217838765009,0.0,11.149228130360203,88.8507718696398,True
7,-663.2542456066219,1408.5084912132438,1616.0232002565715,0.0991256569666002,7,70,6.003430531732419,0.0,15.09433962264151,84.90566037735849,True
