section,result_name,value,unit_or_scale,source_phase,source_file,status,notes
evidence_matrix,K6-P4-DIFF: Profile 4 INT-BE,-0.7052512302906557,z,04,results/04_lpa_estimation/K_6,VERIFIED,INT_minus_BE
evidence_matrix,K6-P5-INT: Profile 5 INT mean,0.1423966001964979,z,04,results/04_lpa_estimation/K_6,VERIFIED,profile_mean_z_INT
evidence_matrix,K6-P5-BE: Profile 5 BE mean,0.1410038580945871,z,04,results/04_lpa_estimation/K_6,VERIFIED,profile_mean_z_BE
evidence_matrix,K6-P5-DIFF: Profile 5 INT-BE,0.0013927421019108155,z,04,results/04_lpa_estimation/K_6,VERIFIED,INT_minus_BE
evidence_matrix,PG-K6-BETWEEN: K=6 between-profile GAP variance proportion,0.2656514253638909,proportion_0_to_1,16,results/16_gap_profile_validation,VERIFIED,between_over_total
evidence_matrix,PG-LEVEL-GAP-R: LEVEL-GAP Pearson r,-7.340726334084667e-17,r,16,results/16_gap_profile_validation,VERIFIED,pearson_r
evidence_matrix,CLS-MEAN-MAXPROB: Mean max posterior,0.8916654620061683,prob_0_to_1,13,results/13_k6_profile_validation,VERIFIED,mean_max_probability
evidence_matrix,CLS-MED-MAXPROB: Median max posterior,0.961813608195577,prob_0_to_1,13,results/13_k6_profile_validation,VERIFIED,median_max_probability
evidence_matrix,CLS-PCT70: % max posterior >= 0.70,88.8507718696398,percent,13,results/13_k6_profile_validation,VERIFIED,pct_maxprob_>=0.70
evidence_matrix,STAB-bootstrap_B: bootstrap_B,200,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-bootstrap_converged: bootstrap_converged,200,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-bootstrap_mean_matching_cost: bootstrap_mean_matching_cost,2.59943545288815,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-profile_0_pct_INT_gt_BE: profile_0_pct_INT_gt_BE,80.5,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
