ATT1,ATT2,ATT3,CON1,CON2,CON3,SNO1,SNO2,SNO3,COVID1,COVID2,COVID3,INT1,INT2,INT3,BE1,BE2,BE3,BE4,PU1,PU2,PU3,PEU1,PEU2,PO1,PO2,PRI1,PRI2,PRI3,gender,age,Education,Occupation,income
4,5,5,4,4,5,5,4,4,5,5,5,4,4,5,4,5,4,5,4,4,3,3,3,3,3,5,5,5,1,21,3,1,4
4,5,5,4,4,4,4,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,1,21,3,1,3
3,3,3,4,4,4,5,5,5,3,3,4,4,4,4,5,5,5,5,4,4,4,4,4,5,4,5,5,5,0,23,4,5,3
4,4,4,5,5,5,4,4,4,5,5,5,4,4,4,3,3,3,4,4,4,4,3,3,3,4,4,4,4,1,21,3,1,3
3,4,5,5,4,2,4,4,4,5,4,4,4,4,5,5,4,3,5,5,4,4,5,5,4,4,4,5,5,1,30,3,4,2
