K,log_likelihood,AIC,BIC,entropy
2,-2927.589537432892,5877.179074865784,5932.853752901799,0.599786309643466
3,-2893.2943393978667,5820.588678795733,5906.631363033211,0.6110818440435285
4,-2247.322134099586,4540.644268199172,4657.054958638112,0.4236446643838081
5,-2214.319855274666,4486.639710549332,4633.418407189735,0.3416248967605995
6,-941.0133699246958,1952.026739849392,2129.1734426912567,0.1418497523045633
7,-663.2542456066219,1408.5084912132438,1616.0232002565715,0.0991256569666002
