profile,size,proportion_WEIGHT_NOT_SHARE,proportion,assigned_share
0,124,0.10623988451484992,0.10623988451484992,0.10634648370497427
1,487,0.4092869227800141,0.4092869227800141,0.4176672384219554
2,169,0.2071703746794645,0.2071703746794645,0.14493996569468268
3,386,0.27730281802567147,0.27730281802567147,0.33104631217838765
