baseline_profile,target_profile,predictor,beta,SE,z,p_value
0,0,const,28.794230912175703,2.0324148304555343,14.167496950276593,1.455982580513961e-45
0,0,ATT,-0.6833537973842967,0.24990023000800726,-2.7345064762941624,0.006247386639037661
0,0,CON,-0.12107099572702976,0.2744477973829106,-0.44114398760545,0.6591087603615178
0,0,SNO,-1.6368618813045406,0.28581117424432323,-5.727074477169613,1.0217731897748424e-08
0,0,COVID,-0.4938610534050505,0.2860395725270732,-1.7265480053754008,0.08424887074512205
0,0,PU,-1.5660729323873035,0.30277334593756516,-5.172426679560634,2.310731826360014e-07
0,0,PEU,-0.6286463043806364,0.2060503587242097,-3.050935258123257,0.002281297595431378
0,0,PO,-0.1236255623628796,0.22438676249397327,-0.5509485541340703,0.58166894173283
0,0,PRI,-2.17404702443802,0.2849444049562333,-7.629723506141304,2.352577282998829e-14
0,0,age,-0.01551429483366747,0.023649898818582107,-0.6559983597679343,0.5118251795764686
0,0,gender,-0.419318846499988,0.2919445786465374,-1.436296054696275,0.1509181162213459
0,0,Education,-0.32690617697184093,0.19730102466860938,-1.6568904166662026,0.09754163224320757
0,0,Occupation,-0.10461466370558815,0.0808355279909694,-1.2941668880702464,0.1956077814277023
0,0,income,0.004695377636372498,0.1623250117817278,0.02892578035162068,0.9769237844743444
0,1,const,-22.040855071346087,2.463810159318442,-8.945841459409841,3.691266150830918e-19
0,1,ATT,0.042865828623186976,0.2593235143251356,0.1652986569102349,0.8687089159092679
0,1,CON,-0.01379528068591627,0.2870425814447623,-0.048060049545544506,0.9616683852357453
0,1,SNO,0.7560072571955065,0.3431489419900254,2.2031461114558297,0.027584452050173826
0,1,COVID,-0.0700775476998692,0.3045513438698781,-0.2301009307967801,0.8180133416270675
0,1,PU,1.796112011023175,0.32916559262675205,5.456560622543028,4.854455878908146e-08
0,1,PEU,0.115792945244833,0.19135856871476312,0.6051098000081335,0.5451060431052063
0,1,PO,0.09668806886507356,0.21871164652773886,0.44208011050207496,0.6584312364914541
0,1,PRI,2.005367174066611,0.3323150410530373,6.034536287349557,1.5941980553962405e-09
