profile,reference_profile,predictor,beta,SE,z,p,p_FDR,OR,CI_lower,CI_upper,significant_FDR
1,0,ATT,-0.6560333974241868,0.25675855128919645,-2.5550595846962567,0.010616962194411559,0.03833903014648618,0.5189055497607884,0.3137119226568442,0.8583128345653636,True
1,0,CON,-0.16452472150491784,0.2883755849046485,-0.5705223677632696,0.5683234556312393,0.6480881511584308,0.848296785511963,0.4820338843514812,1.492856539075204,False
1,0,SNO,-2.247408841750439,0.3434218777688334,-6.544163279146797,5.98294026634755e-11,1.2963037243753026e-09,0.10567268476841692,0.05390587967283026,0.20715210240402554,True
1,0,COVID,-0.8504282860529491,0.30901532294017087,-2.752058629201382,0.00592219172989086,0.022643674261347405,0.42723191528908977,0.23314415656765963,0.782893777518347,True
1,0,PU,-2.1718434054526226,0.30433490278134306,-7.136359929814022,9.583486695065696e-13,6.229266351792702e-11,0.11396733514607878,0.06276612167128105,0.20693573434921372,True
1,0,PEU,-0.3620839442558829,0.18448820418162426,-1.9626400823947523,0.049688009839122485,0.11534716569796291,0.6962239213896744,0.4849638996861074,0.9995130545365444,False
1,0,PO,0.27260893582708534,0.21305820352825336,1.279504526522186,0.20071944664608143,0.3433358955788235,1.3133865259672715,0.8650351447660438,1.9941203279768651,False
1,0,PRI,-1.7433349324113103,0.28237085454471766,-6.173919525873826,6.661745823648067e-10,8.660269570742487e-09,0.17493602690914833,0.10058201573586792,0.3042553212606304,True
1,0,age,0.005234820801789799,0.01869668465856162,0.27998658036908486,0.7794878006174631,0.8306017547563131,1.0052485464161287,0.9690775094973406,1.0427696754575366,False
1,0,gender,0.5827609226468548,0.2855923874076977,2.0405338109202953,0.04129718701193618,0.09941915391762414,1.790976358182831,1.0232663792297767,3.1346640334105644,False
1,0,Education,0.10576882871735915,0.19393456099693662,0.5453841139694017,0.5854893640102188,0.656151873459728,1.1115648849229522,0.7600713938506274,1.6256058357020564,False
1,0,Occupation,-0.25139507699934927,0.07577587775353364,-3.317613526260024,0.0009079001159607684,0.004539500579803842,0.7777150535261157,0.670376491105222,0.9022403269004154,True
1,0,income,-0.16857868731926381,0.1667336677448059,-1.011065668976237,0.31198500046112576,0.48283392928507557,0.8448647806585652,0.6093413397438536,1.1714230613293055,False
2,0,ATT,-0.11796820799378017,0.2342897241111254,-0.5035142212973325,0.6146027842865871,0.6771047623496299,0.888724306494171,0.5614817164831575,1.4066903155825865,False
2,0,CON,-0.2930532100631265,0.2674206696967748,-1.0958510065636144,0.2731439826297608,0.43303314319352326,0.7459824458681127,0.4416675970654742,1.2599742730524013,False
2,0,SNO,-1.166067900456913,0.3266669612513396,-3.5695923946215458,0.0003575371014813314,0.0019366592996905452,0.31158973747612284,0.16425500594125197,0.5910819213337342,True
2,0,COVID,-0.4678393551856505,0.2890424089195675,-1.618583781301924,0.10553684704059134,0.2212869373431754,0.6263541361198184,0.35545291823466957,1.1037172117838547,False
2,0,PU,-1.2204907155897957,0.2782294956290022,-4.386633102398414,1.1511873037198067e-05,8.31413052686527e-05,0.29508532841868934,0.1710463807119541,0.5090745018136488,True
2,0,PEU,0.11343565150981527,0.16721918929488494,0.6783650368605462,0.49754027160192893,0.615749855747693,1.1201198085547683,0.8070949501070391,1.55454867528334,False
2,0,PO,0.15685538097667548,0.1925209288330461,0.8147445679150045,0.4152185365827139,0.5742384016569447,1.169826422512379,0.8021291577257383,1.7060766905521492,False
2,0,PRI,-0.6177894004688007,0.25536914205207817,-2.4192014567790383,0.01555462301736455,0.04966698266319967,0.5391349326853729,0.3268307196978084,0.8893486998725679,True
2,0,age,-0.002146466470132485,0.016236376882047418,-0.1322010745208702,0.8948252512372121,0.9088068957877936,0.9978558355416629,0.9666007292151152,1.0301215780512363,False
2,0,gender,0.6225759904555133,0.258559690593325,2.4078617553527724,0.016046255937341432,0.04966698266319967,1.8637227957083273,1.122770169157614,3.0936542087228003,True
2,0,Education,0.2916570203560579,0.17474403308272454,1.6690528151996256,0.09510691327616373,0.20606497876502142,1.338643811316814,0.9504295064696706,1.8854288943879605,False
2,0,Occupation,-0.1526170867729905,0.06682917998998039,-2.283689352403728,0.022389794262408756,0.058213465082262765,0.8584583739509754,0.7530660949371429,0.9786003974432876,False
2,0,income,-0.20678378399248937,0.15263246546774986,-1.354782440018839,0.17548688289806613,0.31685131634373054,0.8131954568557637,0.6029364869103448,1.0967769664090439,False
3,0,ATT,-1.6109943851774788,0.39430506553820555,-4.0856548037965394,4.3952684042144036e-05,0.00028569244627393625,0.19968894758642255,0.09219657343105732,0.4325071345302351,True
3,0,CON,-1.0162423147230224,0.441935393983159,-2.2995268732916845,0.02147503918813256,0.05816156446785902,0.3619524914986262,0.1522188962891856,0.860665852241964,False
3,0,SNO,-3.211399651324129,0.47895336167359925,-6.705036248420066,2.013563776812275e-11,6.544082274639893e-10,0.040300167596174934,0.01576207973773701,0.10303865576770416,True
3,0,COVID,-0.40959299628816576,0.4514725048692484,-0.907237964373464,0.36428097158294137,0.5303528575012589,0.6639204132264453,0.27404057329653997,1.6084855968455218,False
3,0,PU,-2.9182021055099603,0.4646544466953913,-6.2803705555044775,3.3776700458560966e-10,5.488713824516157e-09,0.05403074160013286,0.021732969904719773,0.13432683386849653,True
3,0,PEU,-0.4650994104409406,0.3487006981802246,-1.3338069377783575,0.1822671366966293,0.32019902392651095,0.6280726651055132,0.3170953445507093,1.2440273231121448,False
3,0,PO,-0.5817147810857126,0.3656104917487618,-1.591077920940661,0.11159204073283872,0.22667133273857865,0.5589390861495124,0.2729923940212584,1.1444014883481475,False
3,0,PRI,-2.4291767962127944,0.4309734542530221,-5.6364882157837926,1.735529061395428e-08,1.8801564831783805e-07,0.08810933467427193,0.03785906739294057,0.205056684998808,True
3,0,age,0.010427157322655046,0.032798061131622,0.317919930718154,0.7505456738238563,0.813091146642511,1.010481709570992,0.9475675587133181,1.0775730722187327,False
3,0,gender,0.30168449758112337,0.46854641771126093,0.6438732347048585,0.5196576392106129,0.625256088204383,1.352134557681871,0.5397406777636984,3.3873079006247804,False
3,0,Education,-0.6118693202746672,0.2992287022104528,-2.04482162223973,0.04087244725252961,0.09941915391762414,0.542336121018729,0.301689306798052,0.9749383273916579,False
3,0,Occupation,-0.36597315712246176,0.12438129322841868,-2.9423488663232846,0.0032573273954636587,0.013232892544071114,0.6935214170703716,0.5434810216215402,0.8849839033941964,True
3,0,income,-0.23269040728905124,0.2625475894868757,-0.8862789703909396,0.37546721827580276,0.5305515040853734,0.792398856463575,0.4736513944168846,1.3256499508415642,False
4,0,ATT,-0.2331657804343793,0.3276519813734727,-0.7116263404145459,0.47669619152978593,0.607553969596786,0.7920222608456372,0.4167104495616334,1.5053600463701695,False
4,0,CON,-0.3469686261220781,0.36478692446382377,-0.9511542296425904,0.341526089187415,0.516260367376325,0.7068275038296977,0.34578053465732145,1.4448618996591134,False
4,0,SNO,-0.31275991800754205,0.46594929018822595,-0.6712316653196292,0.5020729593019652,0.615749855747693,0.7314254935809524,0.2934580656431723,1.8230313468727353,False
4,0,COVID,-0.23426878765896353,0.39363374370739057,-0.5951440683223242,0.5517471736220048,0.6404208265255412,0.7911491361898167,0.3657552352938915,1.7113000588794216,False
4,0,PU,-0.9554619281326556,0.3849701458401056,-2.4819117494100427,0.01306796353021005,0.0447061910244028,0.3846344300464471,0.1808651751461108,0.8179775053856545,True
4,0,PEU,0.28026665501606624,0.24139363191465,1.1610358268073975,0.24562733004056436,0.4093788834009406,1.32348267858349,0.8245933992458189,2.1242061870887707,False
4,0,PO,-0.18798834230185082,0.2609273408321579,-0.7204624157143223,0.4712403324380192,0.607553969596786,0.8286243670291249,0.4968803977020214,1.3818583804269577,False
4,0,PRI,1.2733620116404953,0.4220879069011844,3.016817091465745,0.0025544389565804546,0.011069235478515302,3.5728443370679615,1.5621603673639457,8.171514860832861,True
4,0,age,-0.02247928703213287,0.024927352078228448,-0.9017920139125519,0.367167362885487,0.5303528575012589,0.9777714895330367,0.9311481381666556,1.0267293103608646,False
4,0,gender,0.39973301947498835,0.3575431635179795,1.1179993361973128,0.2635672768719576,0.42829682491693105,1.491426462663126,0.7400395997646331,3.00572144279751,False
4,0,Education,-0.013715721422068736,0.2378666200860317,-0.05766139619383345,0.9540183438822841,0.9540183438822841,0.9863779105196188,0.6188240491964956,1.5722423581054301,False
4,0,Occupation,-0.22971367009414925,0.09786108778487654,-2.3473443356681063,0.01890777199075958,0.05343500779997272,0.794761133807888,0.6560479474050807,0.9628034998203976,False
4,0,income,-0.1613908039618286,0.21002572697767868,-0.7684334975732808,0.442229685760704,0.5866312158050155,0.8509594477925772,0.5638081590704659,1.2843588198179026,False
5,0,ATT,-0.4712265212824778,0.24465275974146844,-1.926103436480489,0.05409145962887037,0.12123947847850254,0.6242361596193868,0.3864526491445055,1.008327369055379,False
5,0,CON,-0.21831730100070032,0.27661451384132535,-0.7892474547663608,0.42996739105803206,0.5822475087244184,0.8038703323345938,0.46744118384296807,1.3824359802768615,False
5,0,SNO,-1.6834516149834977,0.3324694615089706,-5.063477431409367,4.116771380848773e-07,3.822716282216718e-06,0.18573179375174234,0.09680159964856247,0.3563608384105048,True
5,0,COVID,-0.7031787813381103,0.2980228617556857,-2.3594793271751238,0.01830060049058086,0.05343500779997272,0.49500927394916533,0.2760140274729176,0.887759885028751,False
5,0,PU,-1.2967323161659003,0.28886998667888225,-4.488982504116609,7.156417406550322e-06,5.8145891428221366e-05,0.2734237973687433,0.15521911889611412,0.48164538942899005,True
5,0,PEU,-0.028902602339853492,0.17394517941815882,-0.1661592602711486,0.8680316193005169,0.9084999441190209,0.9715110827649973,0.6908482048147999,1.366195609045893,False
5,0,PO,0.1268428239973074,0.20151782550232372,0.6294372405077622,0.5290628438652472,0.625256088204383,1.1352385714973465,0.7648067327611229,1.6850879562247068,False
5,0,PRI,-0.9839220643238449,0.26772670163991863,-3.6750987417279712,0.0002377574432566473,0.0014049303465165522,0.37384198743820973,0.2212047801384956,0.6318029451454377,True
5,0,age,0.023600904732690928,0.016852046407455235,1.4004770792851629,0.16137050242792217,0.3085024311122041,1.0238816100345112,0.9906152084043629,1.0582651492454573,False
5,0,gender,0.37639340785209174,0.27210751014938317,1.3832525520719994,0.16658744110704315,0.3093766763416516,1.4570202242314203,0.854757640150373,2.4836372722517064,False
5,0,Education,0.28558900416059935,0.18584131903333218,1.536735778922106,0.12435802568925276,0.2449476263576191,1.3305454941983834,0.9243541688639051,1.9152305163587937,False
5,0,Occupation,-0.23427015466109885,0.07148178607538962,-3.2773405299920935,0.0010478990516676649,0.004865245597028444,0.7911480546879974,0.6877193434076404,0.9101318007651212,True
5,0,income,0.02429706460528337,0.16168188743075879,0.15027697283462707,0.8805460996845895,0.9084999441190209,1.0245946434895452,0.7463210310943538,1.4066254865257146,False
