profile,reference_profile,predictor,beta,SE,z,p,OR,CI_lower,CI_upper,p_FDR,significant_FDR,specification
1,0,ATT,-0.5129251157892805,0.20076901843862482,-2.554802129224345,0.010624817739013857,0.5987416262211103,0.4039628373825064,0.8874369169519657,0.03836739739088337,True,standardized_continuous
1,0,CON,-0.12772863243480753,0.22427929897651258,-0.5695070076359735,0.5690121164573578,0.8800921752131571,0.5670453146507999,1.3659617968070514,0.6488734661355835,False,standardized_continuous
1,0,SNO,-1.8820403051331924,0.28752799759587633,-6.545589719504186,5.926106757189162e-11,0.1522790927694227,0.0866745325621135,0.2675402036700987,1.283989797390985e-09,True,standardized_continuous
1,0,COVID,-0.6550120758189929,0.23801226771938283,-2.7520097266215457,0.005923076164004849,0.5194357899365968,0.32578548992913037,0.8281938521133957,0.02264705592119501,True,standardized_continuous
1,0,PU,-1.6282968335377406,0.22811448229349396,-7.1380686450357,9.465136404022121e-13,0.19626355914183058,0.12550606199435313,0.30691254298738113,6.152338662614379e-11,True,standardized_continuous
1,0,PEU,-0.3229340196266648,0.16458359023776142,-1.9621276894017594,0.04974761995658689,0.7240216240090235,0.5243909125413359,0.9996498785461742,0.115485546327791,False,standardized_continuous
1,0,PO,0.24478191270375294,0.1913295908193288,1.2793730005668533,0.20076573688350519,1.27734271060801,0.8778986846854163,1.858533824923183,0.34341507624810097,False,standardized_continuous
1,0,PRI,-1.2441493897469573,0.20161841942907383,-6.170812137452696,6.794010780593104e-10,0.28818593781710444,0.19411170399652292,0.42785227807289594,8.832214014771035e-09,True,standardized_continuous
1,0,age,0.041770042998257526,0.1488539451903835,0.2806109233103216,0.7790088369518011,1.0426546854354286,0.7788134857468423,1.3958782339496234,0.8300913836371652,False,standardized_continuous
1,0,gender,0.5821096546722168,0.28557013348463867,2.0384122371940183,0.041508723509298705,1.7898103323762595,1.0226447799989558,3.13248655694902,0.09992840844831169,False,standardized_continuous
1,0,Education,0.07677688042149713,0.1408536071117504,0.5450828132543593,0.5856965625989254,1.0798011247412653,0.8193071871907065,1.423117589130954,0.6563840787746579,False,standardized_continuous
1,0,Occupation,-0.5236245384891142,0.15785249921583996,-3.3171761048466832,0.0009093228090383964,0.5923695858388394,0.4347363876669906,0.8071597781588732,0.004546614045191982,True,standardized_continuous
1,0,income,-0.14583149910667303,0.14417263944295755,-1.0115060643276341,0.31177428010145136,0.8643033267981147,0.6515443100232877,1.14653789346666,0.4825078144427224,False,standardized_continuous
2,0,ATT,-0.09221104383234553,0.18319883108481616,-0.5033386036707531,0.6147262296461307,0.9119126756897528,0.6368120303439799,1.305855870270629,0.6772407614745507,False,standardized_continuous
2,0,CON,-0.227704618823165,0.20798161615255242,-1.0948305097126756,0.27359089738141695,0.7963594546905873,0.5297507921630816,1.1971447526969572,0.43374166658029517,False,standardized_continuous
2,0,SNO,-0.9766772497242452,0.2735007673046163,-3.571021973172213,0.00035559105880467136,0.37656023804812955,0.22030578769464548,0.6436399804230399,0.00192611823519197,True,standardized_continuous
2,0,COVID,-0.3601316776536922,0.222628146895507,-1.6176376737426827,0.10574070506770193,0.6975844637376184,0.4509121059194923,1.0791994219267746,0.22171438159356857,False,standardized_continuous
2,0,PU,-0.915207411296069,0.20854824340586173,-4.388468568948613,1.1415162796424692e-05,0.40043356303271016,0.26607901421958513,0.6026294064316663,8.244284241862277e-05,True,standardized_continuous
2,0,PEU,0.10132608035305553,0.14917782505847604,0.6792301758879836,0.49699203017242977,1.1066374356620508,0.8260809921963956,1.482477415141308,0.6147028959461194,False,standardized_continuous
2,0,PO,0.14081883161120942,0.1728865548466068,0.814515806253127,0.4153495209732003,1.1512160651313352,0.8203380103713849,1.6155516529296055,0.5744195502820856,False,standardized_continuous
2,0,PRI,-0.44042953240619126,0.1823395083418136,-2.4154366566600705,0.015716355858693916,0.6437598459727574,0.450311835353718,0.9203105642589603,0.04987503154281789,True,standardized_continuous
2,0,age,-0.016991066242597788,0.12926603898718236,-0.13144261536692226,0.8954251788908336,0.9831524678413132,0.7631104484589168,1.2666433502181331,0.9094161973110029,False,standardized_continuous
2,0,gender,0.6221279452282531,0.2585375229138926,2.4063352128404834,0.016113471729218086,1.8628879506429135,1.122315992077459,3.092134070215619,0.04987503154281789,True,standardized_continuous
2,0,Education,0.21182565060462127,0.12691570078288733,1.6690263639404872,0.09511215508078956,1.235932382229083,0.9637444403107114,1.5849936866561645,0.20607633600837738,False,standardized_continuous
2,0,Occupation,-0.31789020920662225,0.13921532073672163,-2.283442709641156,0.022404303894823813,0.7276826768874285,0.5539104555663057,0.9559705416657682,0.05825119012654192,False,standardized_continuous
2,0,income,-0.1788803697578222,0.1319792555072741,-1.355367319434251,0.17530055642010112,0.8362059289314261,0.6456099755488883,1.0830693174862813,0.3165148935362937,False,standardized_continuous
3,0,ATT,-1.2596157011877116,0.30835012751981344,-4.0850176107249165,4.407347373205131e-05,0.28376305535374274,0.15505398209316557,0.5193125032758543,0.0002864775792583335,True,standardized_continuous
3,0,CON,-0.7901589076083797,0.34374873511003484,-2.2986525531663347,0.021524676788271666,0.45377268162121837,0.2313308300239644,0.8901089688926491,0.05825119012654192,False,standardized_continuous
3,0,SNO,-2.689068709968222,0.401022212171043,-6.705535574725937,2.0066899562678954e-11,0.06794418565969372,0.030959597040796375,0.1491108672659966,6.52174235787066e-10,True,standardized_continuous
3,0,COVID,-0.3155495351027102,0.3477619592885355,-0.9073722029524832,0.36421000379755764,0.72938793983894,0.36892460610798367,1.4420473938969947,0.5301446926834668,False,standardized_continuous
3,0,PU,-2.1879917696676467,0.34830305510074777,-6.281862124450109,3.345414807708421e-10,0.11214172905726041,0.056661191397509976,0.22194675201454828,5.436299062526185e-09,True,standardized_continuous
3,0,PEU,-0.4149433511867801,0.311115762254814,-1.3337265466059154,0.18229349138434103,0.6603776892577712,0.3588932655280493,1.2151208572492707,0.3202453227022207,False,standardized_continuous
3,0,PO,-0.5226486782414952,0.3283512333751744,-1.591736607379563,0.11144389925587112,0.5929479379190629,0.31154325325064364,1.128534331634551,0.2263704203634882,False,standardized_continuous
3,0,PRI,-1.7339702329010902,0.30777399869420435,-5.6339074784024055,1.761715605710697e-08,0.17658194497012336,0.0965970312785773,0.3227964967112488,1.9085252395199217e-07,True,standardized_continuous
3,0,age,0.08297280807249599,0.2611415302738747,0.31773118578832504,0.7506888532581888,1.0865122637838414,0.6512481078937317,1.8126868777718101,0.8132462576963712,False,standardized_continuous
3,0,gender,0.30103457479762463,0.46855832604288433,0.6424698016572493,0.5205681907372265,1.3512560601351862,0.539377412574763,3.385186137728709,0.6255785340961738,False,standardized_continuous
3,0,Education,-0.4445764099922678,0.21734576217173301,-2.0454800017724355,0.04080755882176201,0.6410957802915443,0.4187110965797336,0.9815928043582627,0.09992840844831169,False,standardized_continuous
3,0,Occupation,-0.7622316853433211,0.2591217586973788,-2.941596603755343,0.0032652497817839115,0.46662390642082974,0.2808006386635618,0.7754180014679933,0.01326507723849714,True,standardized_continuous
3,0,income,-0.20133888227149843,0.22703633116276326,-0.8868134947404421,0.3751793209759918,0.8176353024908829,0.5239651568932326,1.2759006569125402,0.5301446926834668,False,standardized_continuous
4,0,ATT,-0.18215722536376291,0.25622204778724234,-0.710935014909489,0.4771245067039944,0.8334702874444507,0.5044167644487005,1.3771800800712362,0.6080998614854831,False,standardized_continuous
4,0,CON,-0.2697136073313871,0.28372391942603536,-0.9506199120504514,0.34179735682862766,0.763598151936873,0.43787907578489604,1.3316053903608795,0.5166704231130418,False,standardized_continuous
4,0,SNO,-0.2623878389565704,0.390125716183004,-0.672572527450323,0.5012192843868358,0.7692126352221513,0.35806732819674403,1.6524492227905723,0.6147028959461194,False,standardized_continuous
4,0,COVID,-0.18036410169281628,0.3032027509013444,-0.5948630121482732,0.5519350433141825,0.834966143472523,0.46086897592767134,1.5127259528417276,0.6406388895611047,False,standardized_continuous
