profile,reference_profile,predictor,beta,SE,z,p,OR,CI_lower,CI_upper,p_FDR,significant_FDR,specification,dropped_predictor
1,0,ATT,-0.6560333974241868,0.25675855128919645,-2.5550595846962567,0.010616962194411559,0.5189055497607884,0.3137119226568442,0.8583128345653636,0.03833903014648618,True,A_primary,
1,0,CON,-0.16452472150491784,0.2883755849046485,-0.5705223677632696,0.5683234556312393,0.848296785511963,0.4820338843514812,1.492856539075204,0.6480881511584308,False,A_primary,
1,0,SNO,-2.247408841750439,0.3434218777688334,-6.544163279146797,5.98294026634755e-11,0.10567268476841692,0.05390587967283026,0.20715210240402554,1.2963037243753026e-09,True,A_primary,
1,0,COVID,-0.8504282860529491,0.30901532294017087,-2.752058629201382,0.00592219172989086,0.42723191528908977,0.23314415656765963,0.782893777518347,0.022643674261347405,True,A_primary,
1,0,PU,-2.1718434054526226,0.30433490278134306,-7.136359929814022,9.583486695065696e-13,0.11396733514607878,0.06276612167128105,0.20693573434921372,6.229266351792702e-11,True,A_primary,
1,0,PEU,-0.3620839442558829,0.18448820418162426,-1.9626400823947523,0.049688009839122485,0.6962239213896744,0.4849638996861074,0.9995130545365444,0.11534716569796291,False,A_primary,
1,0,PO,0.27260893582708534,0.21305820352825336,1.279504526522186,0.20071944664608143,1.3133865259672715,0.8650351447660438,1.9941203279768651,0.3433358955788235,False,A_primary,
1,0,PRI,-1.7433349324113103,0.28237085454471766,-6.173919525873826,6.661745823648067e-10,0.17493602690914833,0.10058201573586792,0.3042553212606304,8.660269570742487e-09,True,A_primary,
1,0,age,0.005234820801789799,0.01869668465856162,0.27998658036908486,0.7794878006174631,1.0052485464161287,0.9690775094973406,1.0427696754575366,0.8306017547563131,False,A_primary,
1,0,gender,0.5827609226468548,0.2855923874076977,2.0405338109202953,0.04129718701193618,1.790976358182831,1.0232663792297767,3.1346640334105644,0.09941915391762414,False,A_primary,
1,0,Education,0.10576882871735915,0.19393456099693662,0.5453841139694017,0.5854893640102188,1.1115648849229522,0.7600713938506274,1.6256058357020564,0.656151873459728,False,A_primary,
1,0,Occupation,-0.25139507699934927,0.07577587775353364,-3.317613526260024,0.0009079001159607684,0.7777150535261157,0.670376491105222,0.9022403269004154,0.004539500579803842,True,A_primary,
1,0,income,-0.16857868731926381,0.1667336677448059,-1.011065668976237,0.31198500046112576,0.8448647806585652,0.6093413397438536,1.1714230613293055,0.48283392928507557,False,A_primary,
