predictor,VIF
ATT,43.214189103178235
CON,59.0374231411979
SNO,64.9348178752371
COVID,67.44221815766522
PU,61.105731680149866
PEU,26.665426428440036
PO,35.714167855718046
PRI,51.24623499717819
age,13.924741438340716
gender,1.9938715377993594
Education,13.780570873825342
Occupation,3.980248929715518
income,12.870949543206143
