profile,predictor,primary_beta,primary_p,primary_FDR_p,primary_OR,beta_drop_ATT,beta_drop_CON,beta_drop_COVID,beta_drop_PEU,beta_drop_PO,beta_drop_PRI,beta_drop_PU,beta_drop_SNO,p_FDR_drop_ATT,p_FDR_drop_CON,p_FDR_drop_COVID,p_FDR_drop_PEU,p_FDR_drop_PO,p_FDR_drop_PRI,p_FDR_drop_PU,p_FDR_drop_SNO,std_beta,std_FDR_p,n_FDR_sig_dropouts_of_total,fdr_sig_in_drop_ATT,fdr_sig_in_drop_CON,fdr_sig_in_drop_COVID,fdr_sig_in_drop_PEU,fdr_sig_in_drop_PO,fdr_sig_in_drop_PRI,fdr_sig_in_drop_PU,fdr_sig_in_drop_SNO,fdr_sig_in_standardized,primary_significant_FDR
1,ATT,-0.6560333974241868,0.010616962194411559,0.03833903014648618,0.5189055497607884,,-0.7319756384334333,-0.7042031846788414,-0.6697639999392403,-0.6129171066476223,-0.6932431762139859,-0.6307087091966578,-0.766054833180453,,0.006896940687649033,0.02013293924096748,0.028939982172195924,0.0454876661380947,0.02255361409484683,0.035508128176605126,0.008430249201862293,-0.5129251157892805,0.03836739739088337,7,False,True,True,True,True,True,True,True,True,True
1,CON,-0.16452472150491784,0.5683234556312393,0.6480881511584308,0.848296785511963,-0.4253510666684104,,-0.32341274392053426,-0.18019347613911527,-0.1517912700493842,-0.23232319115939465,-0.28994159426306,-0.4473807035613914,0.2029957685857419,,0.3746575511745804,0.6237023215671927,0.6767785634242599,0.6295025070437041,0.48314178723675366,0.19619360230809596,-0.12772863243480753,0.6488734661355835,0,False,False,False,False,False,False,False,False,False,False
1,SNO,-2.247408841750439,5.98294026634755e-11,1.2963037243753026e-09,0.10567268476841692,-2.2907164337112227,-2.265385777881731,-2.5291081419980226,-2.261636918092746,-2.1841183015571386,-2.4073210902933844,-2.305725889151817,,3.5098334650293136e-10,5.432387943315818e-10,9.924965686718469e-13,7.588385410923908e-10,1.5567369709048573e-09,1.3992809077403823e-11,1.928149034289583e-10,,-1.8820403051331924,1.283989797390985e-09,7,True,True,True,True,True,True,True,False,True,True
1,COVID,-0.8504282860529491,0.00592219172989086,0.022643674261347405,0.42723191528908977,-0.901388141330187,-0.8989193719285448,,-0.853463847368471,-0.8504360039703032,-0.8613919979731909,-1.1768341279801933,-1.513626811143934,0.011734962400898033,0.010377396253768574,,0.019815513083633645,0.020607827155009494,0.01929734672314706,0.0008038720024408224,2.795756570095732e-06,-0.6550120758189929,0.02264705592119501,7,True,True,False,True,True,True,True,True,True,True
1,PU,-2.1718434054526226,9.583486695065696e-13,6.229266351792702e-11,0.11396733514607878,-2.1572706502306076,-2.1529076308077744,-2.2904536439418695,-2.19394148214485,-2.0934699346542582,-2.4268116155942336,,-2.2096848571046013,5.705626008417343e-11,3.228107500046701e-11,9.924965686718469e-13,2.0265854396581333e-11,5.434626690111022e-11,1.5211168551400457e-14,,6.303574481009086e-12,-1.6282968335377406,6.152338662614379e-11,7,True,True,True,True,True,True,False,True,True,True
1,PEU,-0.3620839442558829,0.049688009839122485,0.11534716569796291,0.6962239213896744,-0.3819045119072957,-0.3609155229623618,-0.35425849595500525,,-0.3096991109015856,-0.41241605429535344,-0.517431689017511,-0.43380516023121796,0.08953088807229825,0.11050287485737043,0.125006085632067,,0.17374321487844707,0.07126992460800259,0.018061870466983317,0.03601240177678539,-0.3229340196266648,0.115485546327791,2,False,False,False,False,False,False,True,True,False,False
1,PO,0.27260893582708534,0.20071944664608143,0.3433358955788235,1.3133865259672715,0.20312501681806108,0.2650978782098912,0.2750167662860956,0.1745285282200579,,0.15417683383645964,-0.04719293673108881,0.02107850290237792,0.4554553391371941,0.3275788262760286,0.324415369442753,0.5429932083636402,,0.6630495590420926,0.8765727886961985,0.9428324288598883,0.24478191270375294,0.34341507624810097,0,False,False,False,False,False,False,False,False,False,False
1,PRI,-1.7433349324113103,6.661745823648067e-10,8.660269570742487e-09,0.17493602690914833,-1.7502762414246897,-1.7473606315916137,-1.7476901567733862,-1.7542322784307542,-1.7168930109246208,,-2.0371988895948285,-1.9492462660375074,5.176642849023466e-09,6.563839622475411e-09,6.071429196728942e-09,5.2698099631272074e-09,1.1451047270193411e-08,,1.3326109690017018e-11,9.673431333067717e-11,-1.2441493897469573,8.832214014771035e-09,7,True,True,True,True,True,False,True,True,True,True
1,age,0.005234820801789799,0.7794878006174631,0.8306017547563131,1.0052485464161287,0.0038483638063355153,0.005016692807567209,0.004359463450217181,0.004719487135579398,0.004389570926388557,0.001323930688595834,0.005449697836576298,-0.006062569371776458,0.8950917627306982,0.8445995416045472,0.8576021064163774,0.841891066221834,0.8726493711733945,0.9574854413287496,0.8627800128604582,0.8176588023707192,0.041770042998257526,0.8300913836371652,0,False,False,False,False,False,False,False,False,False,False
1,gender,0.5827609226468548,0.04129718701193618,0.09941915391762414,1.790976358182831,0.48572164035694587,0.5811197068527282,0.6141328780714513,0.6233677551011206,0.58554705342303,0.4569579753619087,0.4877550529276095,0.7309155007883597,0.17913420334780178,0.09570248876195336,0.07625697866237972,0.06562751507975573,0.09563192877267798,0.2230397979766499,0.1638838949874893,0.02134154161376061,0.5821096546722168,0.09992840844831169,1,False,False,False,False,False,False,False,True,False,False
