column,n_missing,pct_missing
ATT1,0,0.0
ATT2,0,0.0
ATT3,0,0.0
CON1,0,0.0
CON2,0,0.0
CON3,0,0.0
SNO1,0,0.0
SNO2,0,0.0
SNO3,0,0.0
COVID1,0,0.0
COVID2,0,0.0
COVID3,0,0.0
INT1,0,0.0
INT2,0,0.0
INT3,0,0.0
BE1,0,0.0
BE2,0,0.0
BE3,0,0.0
BE4,0,0.0
PU1,0,0.0
PU2,0,0.0
PU3,0,0.0
PEU1,0,0.0
PEU2,0,0.0
PO1,0,0.0
PO2,0,0.0
PRI1,0,0.0
PRI2,0,0.0
PRI3,0,0.0
gender,0,0.0
age,0,0.0
Education,0,0.0
Occupation,0,0.0
income,0,0.0
