K,n_seeds_tested,seeds,LL_min,LL_max,LL_std,BIC_min,BIC_max,BIC_std,best_BIC_frequency,best_BIC_frequency_pct,class_sizes_by_seed
2,5,"[42, 123, 999, 2024, 7]",-2927.589537432892,-2927.589537432892,0.0,5932.8537529017985,5932.8537529017985,0.0,5,100.0,"[[871, 295]]"
3,5,"[42, 123, 999, 2024, 7]",-2894.5520094838844,-2894.5520094838844,0.0,5909.146703205246,5909.146703205246,0.0,5,100.0,"[[355, 170, 641]]"
4,5,"[42, 123, 999, 2024, 7]",-2313.074008068691,-2252.9141647341075,28.846938531019116,4668.239019907155,4788.558706576322,57.69387706203823,1,20.0,"[[92, 245, 705, 124]]"
5,5,"[42, 123, 999, 2024, 7]",-2223.9385363592373,-2222.2192012411,0.7866510812442207,4649.217099122603,4652.6557693588775,1.5733021624884413,3,60.0,"[[316, 467, 136, 123, 124]]"
6,5,"[42, 123, 999, 2024, 7]",-1923.4656333152961,-953.9057124494568,367.5467278110073,2154.9581277407788,4094.0779694724574,735.0934556220145,1,20.0,"[[259, 95, 316, 361, 11, 124]]"
7,5,"[42, 123, 999, 2024, 7]",-682.7638321323632,1493.4133877500149,839.7188660716542,-2697.312066456702,1655.0423733080543,1679.437732143308,1,20.0,"[[237, 124, 75, 131, 259, 185, 155]]"
