respondent,assigned_class,post_profile_0,post_profile_1
0,0,0.8367322011739955,0.16326779882600448
1,0,0.8518751100699554,0.14812488993004452
2,0,0.8184007155377541,0.18159928446224588
3,0,0.6468085948816343,0.3531914051183657
4,1,0.2817979064772141,0.7182020935227861
5,1,0.24247724788032862,0.7575227521196715
6,0,0.8947770680258257,0.10522293197417432
7,0,0.8367322011739955,0.16326779882600448
8,0,0.8367322011739955,0.16326779882600448
9,0,0.7258787746327156,0.2741212253672845
10,1,0.48581042473464325,0.5141895752653567
11,0,0.6530777731073946,0.3469222268926054
12,0,0.9180583922153185,0.08194160778468144
13,0,0.8184007155377541,0.18159928446224588
14,0,0.9141927262017082,0.08580727379829184
15,0,0.9074459016110682,0.09255409838893183
16,0,0.919997572111041,0.08000242788895913
17,0,0.8367322011739955,0.16326779882600448
18,0,0.9082674359843185,0.09173256401568156
19,0,0.9155583687304025,0.08444163126959771
20,0,0.919997572111041,0.08000242788895913
21,0,0.8367322011739955,0.16326779882600448
22,1,0.031481573017322434,0.9685184269826773
23,1,0.042126750017022006,0.9578732499829778
24,0,0.9141927262017082,0.08580727379829184
25,0,0.9098715210949928,0.09012847890500726
26,0,0.8367322011739955,0.16326779882600448
27,0,0.9098715210949928,0.09012847890500726
28,0,0.8997036518285733,0.10029634817142678
29,0,0.5341654868192665,0.4658345131807333
30,0,0.9212317466791067,0.07876825332089328
31,0,0.8486496577447404,0.15135034225525967
32,0,0.8367322011739955,0.16326779882600448
33,1,0.48581042473464325,0.5141895752653567
34,0,0.8367322011739955,0.16326779882600448
35,0,0.8997036518285733,0.10029634817142678
36,0,0.7258787746327156,0.2741212253672845
37,0,0.8367322011739955,0.16326779882600448
38,0,0.7563085600400921,0.24369143995990813
39,0,0.57036692626435,0.42963307373564974
40,0,0.7922202802150948,0.20777971978490514
41,0,0.9180583922153185,0.08194160778468144
42,0,0.9082674359843185,0.09173256401568156
43,0,0.7477187405761714,0.2522812594238286
44,0,0.8551229964166008,0.14487700358339914
45,0,0.6530777731073946,0.3469222268926054
46,1,0.1622308561311148,0.8377691438688852
47,1,0.08285840417433263,0.9171415958256675
48,0,0.8997036518285733,0.10029634817142678
49,0,0.9141927262017082,0.08580727379829184
50,1,0.20299020429399467,0.7970097957060054
51,0,0.5996599278706654,0.40034007212933476
52,0,0.7922202802150948,0.20777971978490514
53,0,0.7258787746327156,0.2741212253672845
54,1,0.005339020615077236,0.9946609793849229
55,0,0.5996599278706654,0.40034007212933476
56,0,0.8184007155377541,0.18159928446224588
57,0,0.9082674359843185,0.09173256401568156
58,0,0.9082674359843185,0.09173256401568156
59,0,0.9082674359843185,0.09173256401568156
60,0,0.9196398183364037,0.08036018166359632
61,0,0.9082674359843185,0.09173256401568156
62,1,0.43304757008960476,0.5669524299103952
63,0,0.9158152345842944,0.0841847654157054
64,0,0.9155583687304025,0.08444163126959771
65,0,0.919997572111041,0.08000242788895913
66,0,0.9155583687304025,0.08444163126959771
67,0,0.9150642466055321,0.08493575339446777
68,0,0.8997036518285733,0.10029634817142678
69,0,0.8367322011739955,0.16326779882600448
70,0,0.8551229964166008,0.14487700358339914
71,0,0.9082674359843185,0.09173256401568156
72,0,0.9082674359843185,0.09173256401568156
73,0,0.9098715210949928,0.09012847890500726
74,1,0.016610225463235827,0.9833897745367641
75,0,0.8486496577447404,0.15135034225525967
76,1,0.20299020429399467,0.7970097957060054
77,0,0.7563085600400921,0.24369143995990813
78,0,0.9180583922153185,0.08194160778468144
