specification,converged,log_likelihood,AIC,BIC,entropy,profile_sizes,profile_INT_means,profile_BE_means,profile_GAP_means
mean_scores,True,-941.0133699246958,1952.0267398493916,2129.1734426912567,1.1418497523045634,"[124, 377, 262, 90, 54, 259]","[5.0, 3.33687, 4.478372, 2.333333, 4.438272, 4.0]","[4.465726, 3.559682, 3.957061, 2.344444, 4.912037, 3.894788]","[0.551746, -0.42097, 0.544379, -0.121313, -0.774528, 0.001563]"
factor_scores,True,-1468.581939567156,3007.163879134312,3184.310581976177,1.194556938128107,"[124, 336, 365, 93, 68, 180]","[5.0, 3.414683, 4.405479, 2.351254, 3.279412, 4.0]","[4.465726, 3.427827, 4.063014, 2.317204, 4.455882, 3.947222]","[0.551746, -0.144377, 0.308569, -0.061758, -1.684624, -0.067976]"
