specification,profile,INT_minus_BE,GAP_mean
reference_k6,0,0.534274193548387,0.5517464056577344
reference_k6,1,-0.22281167108753275,-0.4209703769109993
reference_k6,2,0.5213104325699738,0.5443788092064684
reference_k6,3,-0.011111111111111516,-0.1213130683759609
reference_k6,4,-0.473765432098765,-0.7745282754088731
reference_k6,5,0.10521235521235539,0.001562674933235664
covariance_full,5,0.1174645390070923,0.01918063951742661
covariance_full,0,0.4514767932489443,0.4546566773835699
covariance_full,3,0.11157407407407405,0.028276421742525044
covariance_full,2,0.0705128205128207,-0.043811665197811815
covariance_full,1,0.1614942528735619,0.08404039063845548
covariance_full,4,-0.04491945477075632,-0.2054997981410467
covariance_diag,5,0.25115207373271886,0.20291859892045516
covariance_diag,4,-0.014625850340136637,-0.1635673211965827
covariance_diag,2,0.1005598621877688,-0.0029851230112733144
covariance_diag,1,0.07172995780590741,-0.023211758526599825
covariance_diag,0,0.13129844961240256,0.023637728978168796
covariance_diag,3,0.021464646464646187,-0.07630394133117346
covariance_spherical,4,-0.06382978723404253,-0.23905027525878478
covariance_spherical,3,-0.09244791666666696,-0.22653268205716529
covariance_spherical,0,0.11662137681159379,0.008674732184294053
covariance_spherical,2,0.17866407263294404,0.10068385534104929
covariance_spherical,5,0.08504901960784261,-0.019952017351992524
covariance_spherical,1,0.11851851851851825,0.03832320246698298
factor_scores,2,0.534274193548387,0.5517464056577344
factor_scores,3,-0.013144841269840946,-0.1443773493941478
factor_scores,5,0.34246575342465757,0.3085692167121937
factor_scores,4,0.034050179211469356,-0.06175803805546616
factor_scores,0,-1.1764705882352944,-1.6846236633534863
factor_scores,1,0.05277777777777759,-0.0679756797660067
seed_1,2,0.4578884934756813,0.46045380709240175
seed_1,1,-0.22281167108753275,-0.4209703769109993
seed_1,4,-0.5047619047619047,-0.816708532941409
seed_1,3,-0.011111111111111516,-0.1213130683759609
seed_1,0,0.534274193548387,0.5517464056577344
seed_1,5,0.10521235521235539,0.001562674933235664
seed_2,1,-0.24852071005917153,-0.4557976246370836
seed_2,0,0.534274193548387,0.5517464056577344
seed_2,3,-0.007751937984496138,-0.12065434978255028
seed_2,5,0.10521235521235539,0.001562674933235664
seed_2,2,0.5213104325699738,0.5443788092064684
seed_2,4,-0.473765432098765,-0.7745282754088731
seed_3,1,-0.22281167108753275,-0.4209703769109993
seed_3,2,0.4578884934756813,0.46045380709240175
seed_3,3,-0.011111111111111516,-0.1213130683759609
seed_3,0,0.534274193548387,0.5517464056577344
seed_3,4,-0.5047619047619047,-0.816708532941409
seed_3,5,0.10521235521235539,0.001562674933235664
seed_4,4,-0.5047619047619047,-0.816708532941409
seed_4,1,-0.258258258258258,-0.4688743134095247
seed_4,3,0.007462686567163868,-0.10066314838739907
seed_4,2,0.4578884934756813,0.46045380709240175
seed_4,0,0.534274193548387,0.5517464056577344
seed_4,5,0.10521235521235539,0.001562674933235664
seed_5,2,0.4578884934756813,0.46045380709240175
seed_5,1,-0.258258258258258,-0.4688743134095247
seed_5,3,0.007462686567163868,-0.10066314838739907
seed_5,4,-0.5047619047619047,-0.816708532941409
seed_5,5,0.10521235521235539,0.001562674933235664
seed_5,0,0.534274193548387,0.5517464056577344
