seed,n_init,converged,log_likelihood,BIC,AIC,entropy,profile_sizes
1,1000,True,-940.7708178504175,2128.6883385427004,1951.541635700835,1.1396771176819382,"[281, 377, 35, 90, 124, 259]"
2,1000,True,-941.3107461721675,2129.7681951862,1952.621492344335,1.1479465916370803,"[338, 124, 129, 259, 262, 54]"
3,1000,True,-940.7708178504174,2128.6883385427,1951.5416357008348,1.1396771176819385,"[377, 281, 90, 124, 35, 259]"
4,1000,True,-950.9409134203524,2149.02852968257,1971.881826840705,1.1506407930425062,"[35, 333, 134, 281, 124, 259]"
5,1000,True,-950.9409134203527,2149.0285296825705,1971.8818268407053,1.1506407930425062,"[281, 333, 134, 35, 259, 124]"
