metric,value
BIC,1616.0232002565715
AIC,1408.5084912132438
log_likelihood,-663.2542456066219
entropy,0.0991256569666002
profile_sizes,"[281, 125, 108, 264, 245, 70, 73]"
profile_INT_means,"[4.468565, 2.896, 4.592593, 3.52399, 4.0, 2.114286, 5.0]"
profile_BE_means,"[4.010676, 2.978, 5.0, 3.596591, 3.831633, 2.732143, 4.092466]"
profile_GAP_means,"[0.460454, -0.225923, -0.689431, -0.225286, 0.085318, -0.921849, 1.046761]"
