specification,BIC,AIC,entropy,total_matching_distance
reference_K7,1616.0232002565715,1408.5084912132438,0.0991256569666002,0.0
covariance_full,17479.63218635159,15146.35704320588,0.06525562535075083,2.986660397900345
covariance_diag,19886.52599518353,19147.571177614605,0.031017351144891566,2.545759665871334
covariance_spherical,24495.110683620387,24075.019931166822,0.1476872168584766,2.16615750806852
mean_scores,1616.0232002565717,1408.5084912132438,0.09912565696660028,0.0
factor_scores,3161.541547026766,2954.026837983438,0.202013442521175,2.7114584857906134
seed_1,881.3564976704813,673.8417886271534,0.04514790381485739,3.336491821534614
seed_2,858.6142316163803,651.0995225730524,0.0993260758805474,2.3029596286855605
seed_3,553.4807048642822,345.9659958209542,0.076153779816776,1.8994286400213491
seed_4,569.8114967233474,362.29678768001946,0.10284637059054196,3.017584284400975
seed_5,1627.6615472917304,1420.1468382484024,0.1372390211089773,1.0935903788686079
