metric,value
BIC,2129.1734426912567
AIC,1952.026739849392
log_likelihood,-941.0133699246958
entropy,0.1418497523045633
profile_sizes,"[124, 377, 262, 90, 54, 259]"
profile_INT_means,"[5.0, 3.33687, 4.478372, 2.333333, 4.438272, 4.0]"
profile_BE_means,"[4.465726, 3.559682, 3.957061, 2.344444, 4.912037, 3.894788]"
profile_GAP_means,"[0.551746, -0.42097, 0.544379, -0.121313, -0.774528, 0.001563]"
