profile,reference_profile,predictor,beta,SE,z,p,p_FDR,OR,CI_lower,CI_upper,significant_FDR
1,0,ATT,-0.6833537973842967,0.24990023000800726,-2.7345064762941624,0.006247386639037661,0.0270720087691632,0.5049207476422521,0.3093882716860961,0.8240291721797289,True
1,0,CON,-0.12107099572702976,0.2744477973829106,-0.44114398760545,0.6591087603615178,0.8050278941103561,0.8859710572006682,0.5173743017075597,1.5171698934535627,False
1,0,SNO,-1.6368618813045406,0.28581117424432323,-5.727074477169613,1.0217731897748424e-08,1.3283051467072952e-07,0.19458973082530484,0.111130312160293,0.34072758913921114,True
1,0,COVID,-0.4938610534050505,0.2860395725270732,-1.7265480053754008,0.08424887074512205,0.2233907954907598,0.6102655715231895,0.3483670493447599,1.0690565266922163,False
1,0,PU,-1.5660729323873035,0.30277334593756516,-5.172426679560634,2.310731826360014e-07,1.802370824560811e-06,0.2088637961784997,0.11538179529543711,0.378084647083135,True
1,0,PEU,-0.6286463043806364,0.2060503587242097,-3.050935258123257,0.002281297595431378,0.011121325777727968,0.5333132564001601,0.3561137746482513,0.7986858405942868,True
1,0,PO,-0.1236255623628796,0.22438676249397327,-0.5509485541340703,0.58166894173283,0.7561696242526791,0.883710673477273,0.5692568066695197,1.371866871450569,False
1,0,PRI,-2.17404702443802,0.2849444049562333,-7.629723506141304,2.352577282998829e-14,1.8350102807390866e-12,0.1137164710685727,0.0650539692035246,0.19878011980841456,True
1,0,age,-0.01551429483366747,0.023649898818582107,-0.6559983597679343,0.5118251795764686,0.7258611637629918,0.9846054318802574,0.9400068687930949,1.0313199708134193,False
1,0,gender,-0.419318846499988,0.2919445786465374,-1.436296054696275,0.1509181162213459,0.3473090335282214,0.657494522015696,0.37100853151299656,1.165199745455193,False
1,0,Education,-0.32690617697184093,0.19730102466860938,-1.6568904166662026,0.09754163224320757,0.24542733274097386,0.7211514004607971,0.48986953162449176,1.0616282679634363,False
