profile,N,percentage,is_reference
0,281,24.09948542024014,True
1,125,10.720411663807889,False
2,108,9.262435677530018,False
3,264,22.641509433962266,False
4,245,21.012006861063465,False
5,70,6.003430531732419,False
6,73,6.260720411663807,False
