construct,profile_1,profile_2,mean_1,mean_2,t_statistic,df,p_value,cohens_d,CI95_lower,CI95_upper
PEU,2,6,4.268518518518518,3.712328767123288,4.099238097451368,179.0,6.825489988829709e-05,0.6296439405917948,0.2880554638016316,0.824324038988829
PEU,3,4,3.422348484848485,3.73265306122449,-4.804212443952297,507.0,2.0624293548000073e-06,-0.4225667798136642,-0.4372090554465856,-0.18340009730542453
PEU,3,5,3.422348484848485,2.4285714285714284,7.9668614550270505,332.0,3.1863053049788075e-12,1.179193795396537,0.7461994164494478,1.241354696104665
PEU,3,6,3.422348484848485,3.712328767123288,-2.443401601445995,335.0,0.01621915005098027,-0.34724708270066335,-0.5253021970198477,-0.05465836752975828
PEU,4,5,3.73265306122449,2.4285714285714284,10.734649756108915,313.0,1.2085088893973045e-17,1.8022366033492814,1.06264061950739,1.545522645798733
PEU,4,6,3.73265306122449,3.712328767123288,0.17634589928960803,316.0,0.8604021499040094,0.028412347527330226,-0.20851662227334422,0.24916521047574836
PEU,5,6,2.4285714285714284,3.712328767123288,-8.173148385756315,141.0,1.6087104510767152e-13,-1.3683699333686488,-1.594291862393975,-0.9732228147097439
PO,0,1,4.074733096085409,2.952,14.755886061662409,404.0,4.9148769580871524e-36,1.54211111303265,0.9728933340012169,1.2725728581696014
PO,0,2,4.074733096085409,4.481481481481482,-4.99206860411961,387.0,1.2852419681531308e-06,-0.5536289428490708,-0.5674042701742953,-0.24609250061785012
PO,0,3,4.074733096085409,3.647727272727273,6.718604968003203,543.0,4.6571105021685714e-11,0.5757559877270632,0.30215972832251314,0.5518519183937592
PO,0,4,4.074733096085409,3.86734693877551,3.3030966065471934,524.0,0.0010218534009994258,0.28738758679599247,0.0840428019644162,0.3307295126553817
PO,0,5,4.074733096085409,2.642857142857143,10.633367042143126,349.0,2.2268814632767432e-17,1.7524202113807852,1.1642061222146125,1.6995457842419202
PO,0,6,4.074733096085409,4.075342465753424,-0.005078116548961823,352.0,0.9959588044835194,-0.0007703324874402792,-0.23880585969287624,0.2375871203568459
PO,1,2,2.952,4.481481481481482,-16.59949785255088,231.0,6.768472215605968e-41,-2.185118693847432,-1.711053133571701,-1.3479098293912628
PO,1,3,2.952,3.647727272727273,-9.065024451686382,387.0,3.170000832204887e-17,-0.9607254643504756,-0.8468579481567469,-0.5445965972977991
PO,1,4,2.952,3.86734693877551,-12.026344075611053,368.0,1.2997435928419957e-26,-1.3192834483798828,-1.065245812717759,-0.7654480648332613
PO,1,5,2.952,2.642857142857143,2.1868457920469884,193.0,0.031032469152706032,0.3665462767753818,0.028756113747899437,0.5895296005378149
PO,1,6,2.952,4.075342465753424,-8.812005897380546,196.0,1.370663391866771e-14,-1.4091995708642668,-1.3758149963220552,-0.8708699351847935
PO,2,3,4.481481481481482,3.647727272727273,10.15573424399386,370.0,6.529511286677593e-20,1.140601162717804,0.6718982017442707,0.9956102157641471
PO,2,4,4.481481481481482,3.86734693877551,7.535210325025616,351.0,1.6335975172802081e-12,0.8775602623232057,0.45342496914819097,0.7748441162637524
