profile,N,INT_mean,BE_mean,raw_gap_INT_minus_BE,z_INT,z_BE,standardized_gap,pattern
0,281,4.468564650059311,4.01067615658363,0.4578884934756813,0.7549782326537028,0.29452442556130215,0.46045380709240064,HIGH_INT_LOW_BE
1,125,2.8960000000000004,2.978,-0.08199999999999985,-1.3009263695306241,-1.0750031720542368,-0.22592319747638734,LOW_INT_HIGH_BE
2,108,4.5925925925925934,5.0,-0.40740740740740655,0.9171271260833062,1.6065585012004526,-0.6894313751171465,LOW_INT_HIGH_BE
3,264,3.523989898989899,3.596590909090909,-0.07260101010101039,-0.47991890035604473,-0.2546324137743369,-0.22528648658170786,LOW_INT_HIGH_BE
4,245,4.0,3.8316326530612246,0.16836734693877542,0.14239660019649758,0.0570782352097083,0.08531836498678928,BALANCED
5,70,2.1142857142857143,2.732142857142857,-0.6178571428571429,-2.322906608964736,-1.4010571242706649,-0.9218494846940712,LOW_INT_HIGH_BE
6,73,5.0,4.092465753424658,0.9075342465753424,1.4497543626304852,0.4029931931972334,1.0467611694332517,HIGH_INT_LOW_BE
