K,n_total,n_maxprob_lt_50,pct_maxprob_lt_50,n_maxprob_lt_70,pct_maxprob_lt_70,n_maxprob_ge_70,pct_maxprob_ge_70
2,1166,0,0.0,220,18.867924528301888,946,81.13207547169812
3,1166,72,6.174957118353345,559,47.94168096054888,607,52.05831903945112
4,1166,45,3.8593481989708405,547,46.912521440823326,619,53.087478559176674
5,1166,148,12.69296740994854,421,36.106346483704975,745,63.893653516295025
6,1166,0,0.0,130,11.149228130360205,1036,88.8507718696398
7,1166,0,0.0,176,15.09433962264151,990,84.90566037735849
