K,log_likelihood,n_params,AIC,BIC,adj_BIC,entropy,smallest_class_pct,largest_class_pct,pct_maxpost_lt_50,pct_maxpost_lt_70,pct_maxpost_ge_70,converged,n_iter
2,-2927.589537432892,11,5877.179074865784,5932.8537529017985,5897.914012529227,0.599786309643466,25.300171526586624,74.69982847341338,0.0,18.867924528301888,81.13207547169812,True,7
3,-2893.2943393978667,17,5820.588678795733,5906.631363033211,5852.633582457417,0.6110818440435285,7.547169811320755,65.00857632933105,6.174957118353345,47.94168096054888,52.05831903945112,True,15
4,-2247.322134099586,23,4540.644268199172,4657.054958638112,4583.999137859098,0.4236446643838081,10.634648370497427,41.76672384219554,3.8593481989708405,46.912521440823326,53.087478559176674,True,26
5,-2214.319855274666,29,4486.639710549332,4633.418407189735,4541.304546207499,0.3416248967605995,4.802744425385934,51.286449399656945,12.69296740994854,36.106346483704975,63.893653516295025,True,36
6,-941.0133699246958,35,1952.0267398493916,2129.1734426912567,2018.0015415057994,0.1418497523045633,4.631217838765009,32.3327615780446,0.0,11.149228130360205,88.8507718696398,True,43
7,-663.2542456066219,41,1408.5084912132438,1616.0232002565717,1485.7932588678932,0.0991256569666002,6.003430531732419,24.09948542024014,0.0,15.09433962264151,84.90566037735849,True,53
