respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2,post_profile_3,post_profile_4
0,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
1,2,9.625569049884551e-05,0.005990181295268453,0.9939135491810364,1.383319631486158e-08,5.168229721065309e-78
2,0,0.7737103634866179,0.12856847009590353,0.0,0.09772116641747855,1.4350257858078657e-23
3,1,0.11847215594787393,0.8603168643340222,0.0,0.0212109797181038,8.502666586913394e-77
4,1,0.06289990437039165,0.9147674497820841,0.0,0.022332645847523938,9.867574492923257e-17
5,3,0.016326267609372155,0.4875498795820267,0.0,0.49612385280860116,8.823943267170077e-79
6,2,0.0004299815615330602,0.0012714016737784657,0.9982977781983695,8.385663189975091e-07,6.894149020222402e-48
7,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
8,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
9,0,0.6983113805355758,0.21024590367965248,0.0,0.09144271578476942,2.3403532325063567e-15
10,1,0.27281159093281193,0.5381210928097866,0.0,0.1890673162574017,1.4976299789955095e-24
11,0,0.43541057425823493,0.32166901335016596,0.0,0.24292041239159903,1.733316365085261e-34
12,0,0.8835351747977285,0.02153988952883519,0.0,0.09332129142162032,0.0016036442518161322
13,0,0.7737103634866179,0.12856847009590353,0.0,0.09772116641747855,1.4350257858078657e-23
14,0,0.8959343895879879,0.057423226903031394,0.0,0.04664238350896633,1.449600190365546e-14
15,0,0.8563831532491504,0.11684759867335012,0.0,0.02676924807749954,6.770374536431765e-23
16,2,0.0005024261987663839,1.751748752432569e-05,0.999371588055509,0.00010723876623644984,1.2294919638743286e-06
17,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
18,2,0.00012777946877753031,2.687166019089533e-06,0.9988569222218918,8.600084394017591e-05,0.0009266102993714639
19,0,0.46657340281649334,0.009210604519593924,0.0,0.06003337645146962,0.46418261621244306
20,2,0.0005024261987663839,1.751748752432569e-05,0.999371588055509,0.00010723876623644984,1.2294919638743286e-06
21,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
22,1,0.00010255038587784515,0.9998874618451135,0.0,9.987768114630838e-06,8.943688155552603e-13
23,3,0.00020110529328339467,0.25372557808337026,0.0,0.7460733166233466,5.202233500728789e-119
24,0,0.8959343895879879,0.057423226903031394,0.0,0.04664238350896633,1.449600190365546e-14
25,4,0.11450195595365358,0.002194619321717419,0.0,0.016170672001954205,0.8671327527226748
26,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
