profile,size,proportion_WEIGHT_NOT_SHARE,proportion,assigned_share
0,598,0.4274507918411431,0.4274507918411431,0.5128644939965694
1,211,0.2229758985918642,0.2229758985918642,0.18096054888507718
2,124,0.10622398431905301,0.10622398431905301,0.10634648370497427
3,177,0.18200149174850766,0.18200149174850766,0.15180102915951973
4,56,0.06134783349943206,0.06134783349943206,0.048027444253859346
