K,covariance_type,n_init,random_seed,converged,n_iter,log_likelihood,n_params,AIC,BIC,entropy,smallest_class_pct,largest_class_pct,min_class_N,class_sizes,min_cov_eigenvalue,any_component_at_reg_floor,well_behaved
2,full,1000,42,True,7,-2927.589537432892,11,5877.179074865784,5932.8537529017985,0.599786309643466,25.300171526586624,74.69982847341338,295,"[871, 295]",0.30633634348162747,False,True
3,full,1000,42,True,15,-2893.2943393978667,17,5820.588678795733,5906.631363033211,0.6110818440435285,7.547169811320755,65.00857632933105,88,"[758, 320, 88]",0.13496595677286838,False,True
4,full,1000,42,True,26,-2247.322134099586,23,4540.644268199172,4657.054958638112,0.4236446643838081,10.634648370497427,41.76672384219554,124,"[124, 487, 169, 386]",1e-06,True,False
5,full,1000,42,True,36,-2214.319855274666,29,4486.639710549332,4633.418407189735,0.34162489676059954,4.802744425385934,51.286449399656945,56,"[598, 211, 124, 177, 56]",1e-06,True,False
6,full,1000,42,True,43,-941.0133699246958,35,1952.0267398493916,2129.1734426912567,0.14184975230456337,4.631217838765009,32.3327615780446,54,"[124, 377, 262, 90, 54, 259]",1e-06,True,False
7,full,1000,42,True,53,-663.2542456066219,41,1408.5084912132438,1616.0232002565717,0.09912565696660028,6.003430531732419,24.09948542024014,70,"[281, 125, 108, 264, 245, 70, 73]",1e-06,True,False
8,full,1000,42,True,50,2141.4667238690863,47,-4188.933447738173,-3951.050732493382,0.01853268801683718,5.831903945111493,22.21269296740995,68,"[124, 116, 128, 259, 185, 68, 155, 131]",1e-06,True,False
9,full,1000,42,True,41,2160.469328438054,53,-4214.938656876108,-3946.6879354298553,0.020814388778423867,1.4579759862778732,22.21269296740995,17,"[185, 130, 259, 49, 116, 155, 17, 131, 124]",1e-06,True,False
10,full,1000,42,True,45,2861.0311431735645,59,-5604.062286347129,-5305.443558699413,0.00032506288119432924,0.8576329331046313,22.21269296740995,10,"[131, 94, 116, 259, 185, 10, 49, 43, 155, 124]",1e-06,True,False
