statistic,value
mean_max_posterior,0.9105387377029004
median_max_posterior,0.9995005408779141
SD_max_posterior,0.15484354903684253
min_max_posterior,0.5214879026317375
max_max_posterior,0.9999999999998384
n_maxpost_ge_0.90,898.0
n_maxpost_ge_0.80,958.0
n_maxpost_ge_0.70,990.0
n_maxpost_lt_0.70,176.0
n_maxpost_lt_0.50,0.0
pct_maxpost_ge_0.90,77.01543739279589
pct_maxpost_ge_0.80,82.16123499142367
pct_maxpost_ge_0.70,84.90566037735849
pct_maxpost_lt_0.70,15.09433962264151
pct_maxpost_lt_0.50,0.0
