K,mean_bic_train,sd_bic_train,mean_ll_test,sd_ll_test
2,4755.828021517866,36.11413665629157,-588.8999994903186,18.69741562006859
3,4741.443316069584,32.885593162966366,-583.1709720670243,17.55724453887655
4,3793.389096104132,108.58609042977002,-473.9675065802341,23.541227760270758
5,3006.1360476161803,1027.642589037465,-407.5454081487614,101.8961487198853
6,2342.7922545961605,839.3665395986361,-287.5751329684123,123.4615670482013
7,63.358511408846404,1315.2907476642042,-9.25118817984847,162.3716100596295
