profile,N,mean_INT,mean_BE,mean_INT_minus_BE,mean_z_INT,mean_z_BE,mean_gap
0,215,3.0620155038759687,3.317441860465116,-0.2554263565891475,-1.088168808884079,-0.6222451683094569,-0.4659236405746222
1,180,4.801851851851851,4.0625,0.7393518518518514,1.182192000221668,0.3657175148120739,0.8164744854095943
2,236,4.0,3.827330508474576,0.17266949152542388,0.13583323132293496,0.05387784820454524,0.0819553831183898
3,104,4.612179487179487,5.0,-0.3878205128205128,0.9346832596303261,1.6088621316934384,-0.6741788720631122
4,67,2.2039800995024876,2.2276119402985075,-0.023631840796019876,-2.2078430570862766,-2.067382446785581,-0.14046061030069562
5,159,3.6394129979035643,3.707547169811321,-0.06813417190775661,-0.33470677020370776,-0.10495736529017849,-0.22974940491352933
6,163,4.333333333333333,3.986196319018405,0.34713701431492794,0.5708091629667497,0.2645372372008708,0.3062719257658788
