K,condition,BIC_std,BIC_min,BIC_max
2,across_seeds,0.0,5932.8537529017985,5932.8537529017985
3,across_seeds,0.0,5909.146703205246,5909.146703205246
4,across_seeds,64.50371549811666,4668.239019907155,4788.558706576322
5,across_seeds,1.7590052922357873,4649.217099122603,4652.6557693588775
6,across_seeds,821.8594682930247,2154.9581277407788,4094.0779694724574
7,across_seeds,1877.6684665252603,-2697.312066456702,1655.0423733080543
2,across_covariance,125.89278979517798,5932.8537529017985,6152.892726598498
3,across_covariance,47.689287371052544,5909.146703205246,6000.694074848975
4,across_covariance,49.00415275886282,4734.2030414703895,4832.008894072134
5,across_covariance,89.0827016377973,4649.217099122604,4818.994165591462
6,across_covariance,828.8639794314183,3079.3288899949607,4668.709998356303
7,across_covariance,713.8193484927359,1655.0423733080543,3041.3271262353355
