K,n_init,seed,converged,n_iter,log_likelihood,AIC,BIC,entropy,class_sizes
2,1000,42,True,7,-2927.589537432892,5877.179074865784,5932.8537529017985,0.599786309643466,"[871, 295]"
3,1000,42,True,15,-2893.2943393978667,5820.588678795733,5906.631363033211,0.6110818440435285,"[758, 320, 88]"
4,1000,42,True,26,-2247.322134099586,4540.644268199172,4657.054958638112,0.4236446643838081,"[124, 487, 169, 386]"
5,1000,42,True,36,-2214.319855274666,4486.639710549332,4633.418407189735,0.34162489676059954,"[598, 211, 124, 177, 56]"
6,1000,42,True,43,-941.0133699246958,1952.0267398493916,2129.1734426912567,0.14184975230456337,"[124, 377, 262, 90, 54, 259]"
7,1000,42,True,53,-663.2542456066219,1408.5084912132438,1616.0232002565717,0.09912565696660028,"[281, 125, 108, 264, 245, 70, 73]"
