K,pct_lt_50,pct_lt_70,pct_ge_70
2,0.0,18.867924528301888,81.13207547169812
3,6.174957118353345,47.94168096054888,52.05831903945112
4,3.8593481989708405,46.912521440823326,53.087478559176674
5,12.69296740994854,36.106346483704975,63.893653516295025
6,0.0,11.149228130360205,88.8507718696398
7,0.0,15.09433962264151,84.90566037735849
