K,log_likelihood,AIC,BIC,entropy,n_params,converged,profile_sizes
1,-1443.6076361516325,2891.215272303265,2901.337941037086,0.0,2,True,[1166]
2,-1440.373320315206,2890.746640630412,2916.053312464964,1.7719378326605757,5,True,"[130, 1036]"
3,-1417.4931511276304,2850.986302255261,2891.4769771905444,1.5029096229129872,8,True,"[635, 357, 174]"
4,-1401.1260199187075,2824.252039837415,2879.92671787343,1.3923278675422033,11,True,"[73, 445, 415, 233]"
5,-1383.1589872287097,2794.3179744574195,2865.176655594166,1.5087624687795016,14,True,"[97, 329, 328, 345, 67]"
6,-1239.1338222648155,2512.267644529631,2598.3103287671083,1.34284853664211,17,True,"[319, 67, 175, 97, 329, 179]"
