respondent,z_INT,z_BE
0,0.14239660019649758,0.2803657844572827
1,1.4497543626304852,-1.3773751114716797
2,0.14239660019649758,-0.05118239472850978
3,0.14239660019649758,-1.3773751114716797
4,-1.16496116223749,0.2803657844572827
5,-0.7291752414261612,-1.3773751114716797
6,1.4497543626304852,-0.7142787531000948
7,0.14239660019649758,0.2803657844572827
8,0.14239660019649758,0.2803657844572827
9,-0.2933893206148318,0.2803657844572827
10,-0.7291752414261612,-0.05118239472850978
11,-0.2933893206148318,-0.38273057391430226
12,1.0139684418191564,0.9434621428288676
13,0.14239660019649758,-0.05118239472850978
14,1.0139684418191564,0.2803657844572827
15,1.0139684418191564,-0.05118239472850978
16,1.4497543626304852,0.9434621428288676
17,0.14239660019649758,0.2803657844572827
18,1.4497543626304852,1.6065585012004526
19,1.0139684418191564,1.2750103220146602
20,1.4497543626304852,0.9434621428288676
21,0.14239660019649758,0.2803657844572827
22,-2.0365330038601486,0.6119139636430752
23,-1.16496116223749,-2.040471469843265
24,1.0139684418191564,0.2803657844572827
25,1.0139684418191564,1.6065585012004526
26,0.14239660019649758,0.2803657844572827
27,1.0139684418191564,1.6065585012004526
28,0.5781825210078264,0.9434621428288676
29,-0.2933893206148318,-1.0458269322858873
30,1.4497543626304852,0.6119139636430752
31,0.14239660019649758,0.6119139636430752
32,0.14239660019649758,0.2803657844572827
33,-0.7291752414261612,-0.05118239472850978
34,0.14239660019649758,0.2803657844572827
35,0.5781825210078264,0.9434621428288676
36,-0.2933893206148318,0.2803657844572827
37,0.14239660019649758,0.2803657844572827
38,0.14239660019649758,-0.7142787531000948
39,0.14239660019649758,-1.7089232906574723
40,0.14239660019649758,-0.38273057391430226
41,1.0139684418191564,0.9434621428288676
42,1.4497543626304852,1.6065585012004526
43,-0.2933893206148318,0.6119139636430752
44,0.14239660019649758,0.9434621428288676
45,-0.2933893206148318,-0.38273057391430226
46,-1.16496116223749,-0.7142787531000948
47,-1.6007470830488193,-0.05118239472850978
48,0.5781825210078264,0.9434621428288676
49,1.0139684418191564,0.2803657844572827
50,-1.16496116223749,-0.38273057391430226
51,-0.2933893206148318,-0.7142787531000948
52,0.14239660019649758,-0.38273057391430226
53,-0.2933893206148318,0.2803657844572827
54,-2.0365330038601486,-1.3773751114716797
55,-0.2933893206148318,-0.7142787531000948
56,0.14239660019649758,-0.05118239472850978
57,1.4497543626304852,1.6065585012004526
58,1.4497543626304852,1.6065585012004526
59,1.4497543626304852,1.6065585012004526
