K,covariance_type,n_init,random_seed,converged,n_iter,log_likelihood,n_params,AIC,BIC,entropy,smallest_class_pct,largest_class_pct
2,full,1000,42,True,7,-2927.589537432892,11,5877.179074865784,5932.8537529017985,0.599786309643466,25.300171526586624,74.69982847341338
3,full,1000,42,True,15,-2893.2943393978667,17,5820.588678795733,5906.631363033211,0.6110818440435285,7.547169811320755,65.00857632933105
4,full,1000,42,True,26,-2247.322134099586,23,4540.644268199172,4657.054958638112,0.4236446643838081,10.634648370497427,41.76672384219554
5,full,1000,42,True,36,-2214.319855274666,29,4486.639710549332,4633.418407189735,0.34162489676059954,4.802744425385934,51.286449399656945
6,full,1000,42,True,43,-941.0133699246958,35,1952.0267398493916,2129.1734426912567,0.14184975230456337,4.631217838765009,32.3327615780446
7,full,1000,42,True,53,-663.2542456066219,41,1408.5084912132438,1616.0232002565717,0.09912565696660028,6.003430531732419,24.09948542024014
