profile,size,assigned_share,weight,mean_z_INT,mean_z_BE
0,758,0.6500857632933105,0.5142208587310848,0.528899751695681,0.2740473649848659
1,320,0.274442538593482,0.33009568865202893,-0.6743031805507262,-0.6351464303694387
2,88,0.07547169811320754,0.1556834526168862,-0.3172251830578235,0.4415255816642496
