respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2
0,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
1,0,0.986870693849386,1.7264183934348874e-05,0.013112041966679625
2,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
3,0,0.9423192022451661,0.04216147235381259,0.01551932540102125
4,2,0.05445893069338322,0.0795161625228727,0.8660249067837441
5,1,0.18781894721365763,0.789882859918676,0.022298192867666197
6,0,0.963154736542815,0.000838059653401056,0.03600720380378366
7,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
8,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
9,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
10,1,0.19343951577109947,0.4773192320391397,0.32924125218976114
11,1,0.38074881940066146,0.517918011186552,0.10133316941278654
12,0,0.7289090795107981,0.17637555912543468,0.09471536136376735
13,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
14,0,0.8254081091903747,0.0987456747881031,0.07584621602152236
15,0,0.8874203834103178,0.05156460744823965,0.06101500914144251
16,0,0.7519874361262812,0.15242221032852168,0.09559035354519745
17,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
18,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
19,0,0.7271651629304703,0.1728569183406231,0.09997791872890663
20,0,0.7519874361262812,0.15242221032852168,0.09559035354519745
21,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
22,2,0.00036256449011898593,6.72716634641383e-05,0.9995701638464166
23,1,0.04615566912065087,0.9499896562732659,0.0038546746060830815
24,0,0.8254081091903747,0.0987456747881031,0.07584621602152236
25,0,0.7592628253058136,0.1385548410140078,0.10218233368017839
26,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
27,0,0.7592628253058136,0.1385548410140078,0.10218233368017839
28,0,0.6928354282773963,0.1744078489839406,0.1327567227386633
29,0,0.518778998450136,0.44130125191621744,0.039919749633646376
30,0,0.8144174291481332,0.09087795669501693,0.09470461415684979
31,0,0.5866833386212842,0.2223320699838362,0.19098459139487958
32,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
33,1,0.19343951577109947,0.4773192320391397,0.32924125218976114
34,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
35,0,0.6928354282773963,0.1744078489839406,0.1327567227386633
36,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
37,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
38,0,0.7660475856223695,0.1873778224216528,0.04657459195597762
39,0,0.9795804239351855,0.012948405187818566,0.007471170876996239
40,0,0.6671100690388398,0.26355004988644093,0.06933988107471938
41,0,0.7289090795107981,0.17637555912543468,0.09471536136376735
42,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
43,0,0.4188754437951992,0.18120322480385856,0.3999213314009425
44,0,0.6113122533987618,0.13951260775941676,0.24917513884182144
45,1,0.38074881940066146,0.517918011186552,0.10133316941278654
46,1,0.04236149342470711,0.8443236824476426,0.11331482412765022
47,2,0.011854149114849737,0.08348644438221327,0.904659406502937
48,0,0.6928354282773963,0.1744078489839406,0.1327567227386633
49,0,0.8254081091903747,0.0987456747881031,0.07584621602152236
50,1,0.059134393994596,0.6311125979440076,0.3097530080613963
51,1,0.4227156442367992,0.5143897760584499,0.06289457970475065
52,0,0.6671100690388398,0.26355004988644093,0.06933988107471938
53,0,0.4023793675110559,0.3263447720093652,0.2712758604795789
54,1,0.0007130482284315681,0.9737039881329086,0.025582963638659893
55,1,0.4227156442367992,0.5143897760584499,0.06289457970475065
56,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
57,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
58,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
59,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
60,0,0.8722866543548997,0.04187277603014618,0.08584056961495427
61,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
62,1,0.16489188238592117,0.6730108856861128,0.16209723192796585
63,0,0.70608640473623,0.20314629402365036,0.09076730124011992
64,0,0.7271651629304703,0.1728569183406231,0.09997791872890663
