profile,size,proportion_WEIGHT_NOT_SHARE,proportion,assigned_share
0,758,0.5142208587310848,0.5142208587310848,0.6500857632933105
1,320,0.33009568865202893,0.33009568865202893,0.274442538593482
2,88,0.1556834526168862,0.1556834526168862,0.07547169811320754
