K,profile,N,percentage,mean_INT,mean_BE,z_INT,z_BE,mean_GAP
2,0,871,74.69982847341338,4.2353616532721015,4.053386911595867,0.45009848458107615,0.35116711778513293,0.09893136679594322
2,1,295,25.300171526586624,2.87457627118644,3.006779661016949,-1.3289348476953127,-1.036835795223222,-0.2920990524720908
3,0,758,65.00857632933105,4.334212840809147,4.054089709762533,0.5793323519334501,0.35209916359510535,0.22723318833834477
3,1,320,27.4442538593482,3.0489583333333337,3.028125,-1.1009551051183255,-1.0085277621274853,-0.09242734299084021
3,2,88,7.547169811320755,3.1363636363636362,4.267045454545454,-0.9866851037237645,0.6345195213148332,-1.6212046250385979
4,0,124,10.634648370497427,5.0,4.465725806451613,1.4497543626304852,0.898007956972751,0.5517464056577341
4,1,487,41.76672384219554,3.7214236824093083,3.6175564681724848,-0.22180231103596898,-0.2268280420179027,0.005025730981933707
4,2,169,14.493996569468267,2.6745562130177514,2.6050295857988166,-1.5904326233846457,-1.5696338189285297,-0.020798804456116038
4,3,386,33.104631217838765,4.281519861830743,4.305051813471502,0.5104437768402632,0.6849232777124852,-0.17447950087222197
5,0,598,51.286449399656945,4.142140468227424,3.9862040133779266,0.3282250446896223,0.2620696474788028,0.06615539721081953
5,1,211,18.096054888507716,3.4091627172195893,3.4549763033175354,-0.6300391077818773,-0.4424406725354405,-0.18759843524643682
5,2,124,10.634648370497427,5.0,4.465725806451613,1.4497543626304852,0.898007956972751,0.5517464056577341
5,3,177,15.180102915951974,2.7269303201506587,2.6610169491525424,-1.5219609278738901,-1.4953837854191652,-0.026577142454724978
5,4,56,4.802744425385934,4.25,5.0,0.4692360408049945,1.6065585012004526,-1.1373224603954581
6,0,124,10.634648370497427,5.0,4.465725806451613,1.4497543626304852,0.898007956972751,0.5517464056577341
6,1,377,32.3327615780446,3.336870026525199,3.559681697612732,-0.7245515181284276,-0.30358114121742896,-0.4209703769109986
6,2,262,22.46998284734134,4.478371501272264,3.95706106870229,0.7677992957119918,0.22342048650552437,0.5443788092064674
6,3,90,7.718696397941681,2.333333333333333,2.3444444444444446,-2.0365330038601486,-1.9152199354841875,-0.12131306837596112
6,4,54,4.631217838765009,4.438271604938272,4.912037037037037,0.7153743849669497,1.489902660375822,-0.7745282754088724
6,5,259,22.21269296740995,4.0,3.8947876447876446,0.14239660019649758,0.1408339252632617,0.0015626749332358914
7,0,281,24.09948542024014,4.468564650059311,4.01067615658363,0.7549782326537028,0.29452442556130215,0.46045380709240064
7,1,125,10.720411663807889,2.8960000000000004,2.978,-1.3009263695306241,-1.0750031720542368,-0.22592319747638734
7,2,108,9.262435677530018,4.5925925925925934,5.0,0.9171271260833062,1.6065585012004526,-0.6894313751171465
7,3,264,22.641509433962266,3.523989898989899,3.596590909090909,-0.47991890035604473,-0.2546324137743369,-0.22528648658170786
7,4,245,21.012006861063465,4.0,3.8316326530612246,0.14239660019649758,0.0570782352097083,0.08531836498678928
7,5,70,6.003430531732419,2.1142857142857143,2.732142857142857,-2.322906608964736,-1.4010571242706649,-0.9218494846940712
7,6,73,6.260720411663807,5.0,4.092465753424658,1.4497543626304852,0.4029931931972334,1.0467611694332517
