metric,existing,reproduced
log_likelihood,-663.2542456066219,-663.2542456066219
BIC,1616.0232002565715,1616.0232002565717
AIC,1408.5084912132438,1408.5084912132438
profile_sizes,"[281, 125, 108, 264, 245, 70, 73]","[281, 125, 108, 264, 245, 70, 73]"
profile_means,"[[0.7549731879199317, 0.2946301604115101], [-1.1529575207988971, -0.955691737817171], [0.7758909057696088, 1.6065585012004528], [-0.4369813869410904, -0.2197273382996452], [0.1423966001964976, 0.0723617126953837], [-2.0796653783914336, -1.1682525030891442], [1.449754362630483, 0.7099256034272704]]","[[0.7549731879199317, 0.2946301604115101], [-1.1529575207988971, -0.955691737817171], [0.7758909057696088, 1.6065585012004528], [-0.4369813869410904, -0.2197273382996452], [0.1423966001964976, 0.0723617126953837], [-2.0796653783914336, -1.1682525030891442], [1.449754362630483, 0.7099256034272704]]"
