K,BIC,AIC,log_likelihood,entropy,profile_sizes,smallest_profile_pct,largest_profile_pct,converged,n_iter,pct_maxpost_lt_50,pct_maxpost_lt_70,pct_maxpost_ge_70
2,5932.853752901799,5877.179074865784,-2927.589537432892,0.599786309643466,"[871, 295]",25.300171526586624,74.69982847341338,True,7,0.0,18.867924528301888,81.13207547169812
3,5906.631363033211,5820.588678795733,-2893.2943393978667,0.6110818440435285,"[758, 320, 88]",7.547169811320755,65.00857632933105,True,15,6.174957118353345,47.94168096054888,52.05831903945112
4,4657.054958638112,4540.644268199172,-2247.322134099586,0.4236446643838081,"[124, 487, 169, 386]",10.634648370497429,41.76672384219554,True,26,3.859348198970841,46.912521440823326,53.087478559176674
5,4633.418407189735,4486.639710549332,-2214.319855274666,0.3416248967605995,"[598, 211, 124, 177, 56]",4.802744425385934,51.28644939965695,True,36,12.69296740994854,36.106346483704975,63.89365351629503
6,2129.1734426912567,1952.026739849392,-941.0133699246958,0.1418497523045633,"[124, 377, 262, 90, 54, 259]",4.631217838765009,32.3327615780446,True,43,0.0,11.149228130360203,88.8507718696398
7,1616.0232002565715,1408.5084912132438,-663.2542456066219,0.0991256569666002,"[281, 125, 108, 264, 245, 70, 73]",6.003430531732419,24.09948542024014,True,53,0.0,15.09433962264151,84.90566037735849
