K,profile,mean_INT,mean_BE,INT_minus_BE,z_INT,z_BE,standardized_gap,INT_gt_BE,BE_gt_INT
2,0,4.2353616532721015,4.053386911595867,0.1819747416762345,0.45009848458107615,0.35116711778513293,0.09893136679594322,True,False
2,1,2.87457627118644,3.006779661016949,-0.13220338983050883,-1.3289348476953127,-1.036835795223222,-0.2920990524720908,False,True
3,0,4.334212840809147,4.054089709762533,0.2801231310466141,0.5793323519334501,0.35209916359510535,0.22723318833834477,True,False
3,1,3.0489583333333337,3.028125,0.02083333333333348,-1.1009551051183255,-1.0085277621274853,-0.09242734299084021,True,False
3,2,3.1363636363636362,4.267045454545454,-1.130681818181818,-0.9866851037237645,0.6345195213148332,-1.6212046250385979,False,True
4,0,5.0,4.465725806451613,0.534274193548387,1.4497543626304852,0.898007956972751,0.5517464056577341,True,False
4,1,3.7214236824093083,3.6175564681724848,0.10386721423682355,-0.22180231103596898,-0.2268280420179027,0.005025730981933707,True,False
4,2,2.6745562130177514,2.6050295857988166,0.06952662721893477,-1.5904326233846457,-1.5696338189285297,-0.020798804456116038,True,False
4,3,4.281519861830743,4.305051813471502,-0.023531951640759274,0.5104437768402632,0.6849232777124852,-0.17447950087222197,False,True
5,0,4.142140468227424,3.9862040133779266,0.1559364548494977,0.3282250446896223,0.2620696474788028,0.06615539721081953,True,False
5,1,3.4091627172195893,3.4549763033175354,-0.04581358609794606,-0.6300391077818773,-0.4424406725354405,-0.18759843524643682,False,True
5,2,5.0,4.465725806451613,0.534274193548387,1.4497543626304852,0.898007956972751,0.5517464056577341,True,False
5,3,2.7269303201506587,2.6610169491525424,0.06591337099811634,-1.5219609278738901,-1.4953837854191652,-0.026577142454724978,True,False
5,4,4.25,5.0,-0.75,0.4692360408049945,1.6065585012004526,-1.1373224603954581,False,True
6,0,5.0,4.465725806451613,0.534274193548387,1.4497543626304852,0.898007956972751,0.5517464056577341,True,False
6,1,3.336870026525199,3.559681697612732,-0.22281167108753275,-0.7245515181284276,-0.30358114121742896,-0.4209703769109986,False,True
6,2,4.478371501272264,3.95706106870229,0.5213104325699738,0.7677992957119918,0.22342048650552437,0.5443788092064674,True,False
6,3,2.333333333333333,2.3444444444444446,-0.011111111111111516,-2.0365330038601486,-1.9152199354841875,-0.12131306837596112,False,True
6,4,4.438271604938272,4.912037037037037,-0.473765432098765,0.7153743849669497,1.489902660375822,-0.7745282754088724,False,True
6,5,4.0,3.8947876447876446,0.10521235521235539,0.14239660019649758,0.1408339252632617,0.0015626749332358914,True,False
7,0,4.468564650059311,4.01067615658363,0.4578884934756813,0.7549782326537028,0.29452442556130215,0.46045380709240064,True,False
7,1,2.8960000000000004,2.978,-0.08199999999999985,-1.3009263695306241,-1.0750031720542368,-0.22592319747638734,False,True
7,2,4.5925925925925934,5.0,-0.40740740740740655,0.9171271260833062,1.6065585012004526,-0.6894313751171465,False,True
7,3,3.523989898989899,3.596590909090909,-0.07260101010101039,-0.47991890035604473,-0.2546324137743369,-0.22528648658170786,False,True
7,4,4.0,3.8316326530612246,0.16836734693877542,0.14239660019649758,0.0570782352097083,0.08531836498678928,True,False
7,5,2.1142857142857143,2.732142857142857,-0.6178571428571429,-2.322906608964736,-1.4010571242706649,-0.9218494846940712,False,True
7,6,5.0,4.092465753424658,0.9075342465753424,1.4497543626304852,0.4029931931972334,1.0467611694332517,True,False
