metric,value
condition_number_corr,18.402005415479238
smallest_eigenvalue_corr,0.26088601679233325
largest_eigenvalue_corr,4.800825893835329
eigenvalue_1,4.800825893835329
eigenvalue_2,1.509009566619726
eigenvalue_3,1.0909520847618583
eigenvalue_4,1.0163268679955417
eigenvalue_5,0.955133662216664
eigenvalue_6,0.6566678503712611
eigenvalue_7,0.5735497855045265
eigenvalue_8,0.4973463202670259
eigenvalue_9,0.4912524510167795
eigenvalue_10,0.4496104953829976
eigenvalue_11,0.36421124544632105
eigenvalue_12,0.3342277597896399
eigenvalue_13,0.26088601679233325
